,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13
普钢,,,0.04,0.17,0.17,0.17,0.17,0.38,0.04,0.04,0.04,0.04,,0.17,,,,,,,,0.04,0.04,
种植业,,,,0.06,0.56,0.06,0.06,0.06,0.25,0.25,0.56,0.56,0.25,0.56,0.56,0.56,0.25,0.56,0.56,0.56,0.25,0.25,0.25,0.56
煤炭开采,,,,0.04,0.15,0.04,,,,,0.04,0.04,0.04,0.04,,,,0.04,0.33,0.15,,,0.15,0.04
钢加工,,,,0.04,0.04,0.04,0.04,,,0.04,0.04,,,,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.04,0.04,0.04
化工机械,,,,,0.1,0.1,,,,,,,,,,0.1,,,,,,,,
白酒,,,,,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,
证券,,,,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.08,0.08,0.08,0.08,0.08,0.08,0.08
中成药,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,
染料涂料,,,,,,0.04,0.04,0.04,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,
航空,,,,,,,,0.03,0.03,0.28,0.5,0.12,0.5,2.0,2.53,2.53,2.53,3.12,3.12,4.5,6.12,5.28,3.12,0.78
环境保护,,,,,,,,,,,,0.01,,,,0.01,,,0.01,0.01,0.01,0.01,0.01,
汽车服务,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,,0.08
机床制造,,,,,,,,,,,,,,,,0.07,0.07,,,,,,,0.07
饲料,,,,,,,,,,,,,,,,,,0.06,,0.06,0.06,0.06,0.06,0.06
黄金,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08
