,NAME,2021-03-10,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14
BK0823,养老金,19.41,27.76,26.68,22.91,23.72,13.21,14.82,16.17,17.52,11.32,16.17,14.56,26.42,32.61,38.54,35.85,63.61,68.19,74.12,66.85,60.38,50.13,40.7,45.28,58.49,67.92,50.67,59.84,62.53,74.93,76.82,81.4,77.9,77.63,76.28,76.28,78.17,78.17,71.43,71.16,62.53,69.81,74.12,78.71,78.98,75.74,77.36,78.44,71.7,66.85,68.73,62.26,66.31,56.33,51.48,58.49,42.32,41.24,57.41,67.39,63.34,58.22,59.57,56.33,45.55,39.62,46.9,43.13,52.02,48.52,45.55,44.74,41.51,46.63,47.44,43.67,50.4,40.7,36.66,21.56,35.85,35.58,31.0,39.89,38.54,50.13,52.29,49.6,42.05,38.54,36.93,40.97,32.35,30.19,26.68,30.46,34.5,37.2,41.78,46.36,47.44,47.44,46.9,47.17,45.28,43.94,40.7,42.32,40.43,36.66,35.85,33.96,41.24,40.97,52.29,45.55,40.16,44.74,45.01,47.71,42.59,44.47,46.9,48.52,53.91,54.72,52.02,53.91,56.6,63.34
BK0719,健康中国,19.14,24.26,18.06,20.22,14.82,11.32,16.17,20.49,17.25,23.18,21.02,23.18,21.02,28.3,41.78,38.54,48.79,43.13,54.45,52.02,63.61,77.36,79.25,83.56,82.75,85.18,74.39,61.46,71.16,80.86,84.37,87.87,90.3,91.64,90.84,89.49,90.84,90.03,89.22,89.22,92.99,91.64,92.18,92.72,92.18,92.18,92.18,94.07,93.8,94.88,93.8,94.07,94.07,92.18,92.18,92.99,79.51,81.67,84.37,64.42,47.17,37.74,19.41,18.06,21.02,18.06,23.99,26.15,34.5,35.31,29.92,26.95,19.68,28.57,21.83,18.33,45.28,35.85,27.49,21.02,30.46,26.42,28.84,29.65,33.15,45.82,42.05,29.92,36.39,32.61,31.81,16.44,13.21,7.55,6.2,11.05,8.89,14.82,19.14,27.76,25.07,26.95,26.42,30.19,30.19,17.25,17.79,18.6,18.06,13.75,12.13,19.41,19.68,24.53,33.15,19.14,19.14,12.94,15.9,8.36,13.21,13.75,20.22,22.37,22.37,31.0,35.04,35.85,30.19,27.49
BK0956,eSIM,18.87,25.07,30.46,32.88,37.74,39.62,12.4,33.96,41.78,76.55,66.31,76.55,39.08,26.42,28.3,40.16,57.14,85.44,83.56,88.14,85.98,84.64,90.03,95.96,93.26,95.42,98.11,94.07,92.72,76.28,83.29,54.99,66.58,83.56,84.37,83.56,78.98,36.39,74.66,80.86,90.3,91.11,84.91,81.13,87.33,85.44,66.04,57.41,70.62,84.37,79.78,79.51,93.8,86.25,93.26,91.64,93.26,98.11,95.69,94.88,95.42,97.3,99.19,99.46,99.46,99.46,99.46,99.19,99.19,98.92,98.92,98.92,98.11,98.92,98.65,98.65,98.38,97.3,97.84,97.84,95.42,89.49,70.62,48.52,47.17,60.92,31.0,24.53,12.13,32.08,36.66,53.1,67.39,63.07,82.21,74.66,77.09,68.19,69.0,35.04,45.28,31.54,57.95,50.4,56.87,42.86,64.42,65.77,58.49,56.06,55.53,62.53,72.51,49.6,10.24,14.82,13.21,15.9,14.29,33.69,32.88,29.65,28.84,29.38,31.27,29.65,15.63,31.0,23.45,37.74
BK0898,胎压监测,18.6,31.0,46.63,33.69,31.54,32.08,35.04,32.88,33.42,22.91,25.34,25.88,22.64,21.29,17.79,26.15,26.68,27.49,58.49,47.98,51.48,46.36,33.69,54.72,67.39,68.19,82.75,95.15,94.07,94.07,89.76,88.68,78.98,80.05,82.48,78.98,77.9,72.78,50.4,50.67,45.28,73.58,74.66,71.97,62.53,42.05,16.71,3.77,4.04,4.31,6.2,7.82,14.02,20.22,26.68,26.68,33.15,30.46,41.51,53.91,68.19,48.79,63.34,63.34,68.19,68.73,73.32,74.93,73.58,78.17,77.09,78.71,82.21,74.39,61.73,66.58,63.07,67.65,72.24,69.81,66.85,66.85,71.43,71.97,56.06,57.14,61.73,60.11,57.95,54.18,60.38,61.73,62.8,60.65,66.58,55.8,62.26,63.61,62.53,68.73,67.12,67.12,59.84,46.9,64.69,63.34,61.99,58.76,53.91,40.97,34.77,42.05,40.7,53.37,57.41,63.88,54.45,40.97,39.62,26.42,16.44,16.71,21.29,27.49,28.84,22.1,18.87,8.63,12.4,17.25
BK0901,3D摄像头,18.33,26.95,22.1,6.2,5.66,3.5,1.62,2.16,1.62,1.89,1.08,3.23,2.7,2.96,1.35,4.31,25.07,52.83,37.47,31.27,19.68,16.17,51.48,88.14,89.76,91.37,94.88,98.11,97.57,96.23,97.84,95.96,95.96,92.99,91.64,91.11,87.33,79.78,61.73,65.5,70.62,69.54,77.63,71.43,81.67,80.86,90.57,82.21,81.67,88.41,82.75,73.05,79.25,73.32,58.49,68.19,39.62,31.0,72.51,80.32,83.56,84.64,67.12,51.48,64.96,54.18,56.33,44.2,50.4,45.55,37.2,42.59,38.01,42.86,42.32,46.9,61.99,63.34,67.92,61.99,81.67,86.25,87.6,89.76,77.09,81.13,59.03,69.54,81.94,81.67,79.25,79.25,74.39,74.12,73.85,71.97,66.04,63.07,65.23,58.22,57.41,67.65,66.31,72.24,77.36,76.55,78.98,70.35,58.22,46.9,47.98,60.38,60.92,53.1,38.54,22.37,17.52,44.2,24.8,20.22,11.05,2.96,0.81,0.81,1.08,1.89,1.62,1.62,3.5,2.16
BK0906,流感,18.06,24.53,18.33,21.56,23.99,12.4,23.72,36.39,30.73,27.49,40.43,40.97,38.81,50.13,69.0,68.46,73.58,69.81,61.19,59.84,76.55,82.21,88.14,92.18,91.37,94.07,92.18,87.33,89.76,94.88,94.88,95.69,97.04,98.11,97.84,97.3,97.57,97.3,96.5,96.23,95.96,96.77,98.11,97.57,97.04,96.5,95.96,96.5,96.77,94.07,94.61,93.53,86.79,54.99,54.72,71.7,23.45,39.89,74.39,63.34,55.26,28.03,7.82,3.5,5.12,3.77,3.77,1.89,7.01,14.29,10.24,6.74,9.16,22.64,18.06,22.37,55.53,47.98,26.42,11.86,19.14,21.83,26.95,29.38,32.08,48.79,59.3,63.34,73.85,70.62,66.58,50.67,40.16,24.8,14.82,24.53,14.56,25.07,31.27,59.57,56.06,59.03,48.25,52.29,47.98,31.81,24.8,23.72,15.09,11.59,10.78,21.56,15.63,16.98,26.95,15.36,15.63,9.16,10.78,7.28,10.24,10.78,16.71,20.75,22.64,29.38,34.77,33.15,32.35,26.42
BK0910,专用设备,17.79,27.49,33.69,38.81,39.89,40.97,49.6,62.53,66.85,61.46,54.18,49.06,57.68,43.67,39.08,39.89,37.74,40.43,51.48,73.32,69.81,66.04,51.75,50.13,51.48,38.01,40.7,37.74,35.58,35.04,33.69,47.44,48.25,43.94,49.87,43.94,41.51,45.01,37.2,32.35,26.42,26.68,26.68,38.01,31.81,39.35,31.54,27.49,29.11,30.19,27.22,29.92,36.66,41.78,63.07,74.12,78.98,69.27,74.66,76.55,76.01,79.25,76.01,73.32,75.74,71.16,74.39,73.32,74.39,77.63,83.02,82.48,77.63,79.25,78.44,73.32,69.0,72.51,78.44,83.29,87.06,87.87,87.87,87.87,87.87,88.95,87.6,85.18,80.59,82.21,83.02,85.44,87.6,87.6,83.29,86.79,86.79,85.98,88.14,88.14,87.06,88.14,88.14,91.11,90.3,86.79,87.87,90.3,92.45,91.37,87.87,88.95,89.49,93.53,91.91,89.22,86.25,83.02,78.71,78.17,62.8,57.95,49.33,46.36,45.55,33.42,30.19,24.8,28.57,33.96
BK0574,锂电池,17.52,36.39,54.18,52.29,42.59,50.4,52.56,49.6,44.74,33.69,32.08,34.5,49.87,31.27,34.5,21.56,23.72,29.11,43.13,31.54,22.91,22.1,8.63,8.36,25.34,12.94,11.32,41.24,46.36,65.77,72.78,78.98,71.43,70.89,72.24,72.51,79.78,82.21,77.36,81.67,78.71,78.44,79.25,83.02,81.13,84.64,91.37,90.3,89.76,92.99,89.49,85.44,89.49,96.23,97.84,97.84,97.84,97.57,97.84,96.77,98.11,98.38,98.11,97.84,98.38,95.69,90.57,93.8,92.45,94.07,94.88,94.34,95.69,93.8,93.26,95.15,93.8,95.42,94.61,96.77,97.84,97.57,98.65,98.92,98.11,98.38,98.38,98.11,97.84,98.11,98.11,98.38,98.38,97.57,96.77,97.3,97.84,97.3,96.77,97.3,97.04,97.3,97.04,95.42,93.8,96.23,97.04,97.3,96.5,95.42,89.76,92.99,92.99,91.64,96.23,93.26,89.49,90.3,91.37,93.8,77.9,79.25,48.52,61.19,76.82,59.03,47.71,50.4,73.32,89.49
BK0666,苹果概念,17.25,22.91,27.22,24.26,15.09,13.75,10.24,10.78,11.59,8.63,7.28,9.97,7.01,4.85,4.04,5.12,3.77,3.5,3.5,10.78,8.63,4.85,7.01,19.14,33.96,19.41,28.84,49.6,38.27,38.81,55.26,50.13,45.28,35.85,39.62,29.65,26.15,15.63,11.86,11.32,8.89,9.7,14.29,9.7,13.48,11.05,23.45,13.21,13.75,11.32,10.24,6.74,17.25,22.1,34.23,46.9,52.02,55.53,78.44,85.18,84.91,82.21,79.51,74.12,78.71,78.44,81.94,82.48,85.44,87.6,90.3,91.37,91.37,92.18,91.37,91.11,90.84,90.57,91.11,90.57,90.57,91.91,92.18,91.37,88.14,84.91,78.71,70.89,72.24,75.47,70.08,69.0,67.92,66.31,69.81,64.42,72.78,74.39,71.16,67.39,70.35,64.69,67.65,71.43,74.66,76.01,79.51,81.94,76.82,75.2,66.85,67.65,65.77,73.05,68.46,64.42,47.17,41.24,43.67,48.79,25.88,25.34,19.41,22.64,25.07,26.42,19.41,23.45,30.73,35.85
BK0567,股权激励,16.98,23.72,24.26,21.02,15.9,23.72,18.87,20.22,25.07,26.68,27.76,30.19,31.0,33.42,33.42,36.93,50.94,50.94,66.85,69.81,66.85,62.26,60.92,69.81,71.16,69.0,64.15,75.47,76.55,76.55,76.01,79.78,76.55,77.9,77.63,76.55,75.47,73.32,57.95,55.26,51.21,63.34,69.54,70.62,76.01,71.97,69.27,59.03,50.13,61.73,62.26,55.8,60.11,49.06,58.22,57.95,48.79,42.59,62.8,67.65,69.27,65.23,71.97,68.19,63.61,63.34,66.85,64.69,66.04,63.34,61.99,62.26,59.57,65.77,64.96,69.27,78.44,74.12,71.7,71.43,77.63,76.82,69.81,72.78,73.32,75.2,71.97,70.08,70.08,69.27,71.97,74.93,73.85,69.27,64.69,65.23,67.12,67.12,66.85,66.85,64.15,64.42,64.15,64.69,66.04,67.12,64.15,63.88,64.69,61.99,58.22,54.72,55.8,62.8,65.5,62.8,47.71,46.63,47.44,46.9,40.7,39.89,38.01,36.93,39.08,40.16,39.35,43.4,43.13,48.52
