,NAME,2021-03-10,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14
BK0966,碳交易,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.46,99.46,98.92,98.65,98.11,99.19,98.65,97.3,90.3,85.44,19.14,28.03,16.44,21.29,2.7,1.35,0.54,2.43,1.62,0.27,1.35,1.35,1.08,11.05,4.58,5.39,18.33,11.05,4.58,11.32,17.79,51.75,71.97,72.51,83.02,89.22,85.98,89.22,94.34,95.69,96.77,95.96,97.57,96.23,89.22,76.82,63.88,71.16,66.85,72.78,64.69,51.48,39.89,37.74,28.84,33.96,46.09,40.16,33.42,32.08,15.9,22.64,8.63,16.44,21.56,39.08,44.2,51.48,63.88,46.9,73.58,77.9,79.51,79.78,69.81,57.95,47.71,50.13,45.01,51.48,48.52,43.13,49.87,54.18,60.92,45.28,47.71,35.58,35.04,42.86,20.75,39.62,38.27,44.74,57.95,58.76,59.3,50.67,59.03,60.65,71.7,77.36,77.36,74.39,72.78,79.25,81.4,88.68,91.64,90.84,89.76,85.98,88.14,86.25,86.52,87.6
BK0479,钢铁行业,99.46,99.46,99.46,99.46,98.38,98.92,98.92,98.92,93.26,86.52,86.52,79.78,90.57,87.6,94.34,56.06,77.63,92.72,92.18,89.76,97.57,92.99,97.57,90.84,96.77,98.38,96.77,93.8,95.96,97.04,99.46,99.46,99.19,98.38,97.57,97.57,92.45,99.46,99.46,99.19,98.65,98.11,87.87,90.57,89.49,91.91,91.11,87.06,89.22,89.49,79.51,44.74,59.57,49.87,31.27,35.85,30.46,5.66,0.0,0.0,0.27,0.27,1.08,8.89,5.39,2.43,3.23,12.67,9.43,17.79,23.18,29.65,41.24,28.3,32.08,38.27,56.87,36.39,52.56,63.07,75.74,47.71,65.5,47.71,66.85,67.65,92.18,94.07,90.57,87.6,86.25,90.3,90.03,91.11,90.03,91.37,82.75,88.68,77.09,71.16,73.32,79.25,76.01,81.67,74.12,78.44,69.0,69.81,76.01,90.3,92.18,80.05,79.78,65.77,83.83,81.94,91.91,88.95,96.77,97.04,98.38,97.3,98.11,98.38,98.92,98.11,98.92,98.65,98.11,95.96
BK0485,旅游酒店,99.19,98.65,96.23,98.65,98.65,99.19,99.19,97.57,98.65,97.3,93.8,97.84,97.84,97.3,95.69,94.07,94.34,97.57,96.77,83.83,87.87,92.72,87.87,16.71,63.61,60.38,71.16,90.3,74.12,78.98,80.05,37.47,23.72,14.02,43.94,40.43,65.77,1.62,5.12,12.94,9.43,2.16,2.43,1.89,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.27,0.0,6.47,6.47,8.63,7.01,21.02,9.43,9.43,21.83,20.75,24.26,26.42,17.52,13.48,21.83,15.9,13.48,8.89,44.47,28.84,19.95,26.95,27.22,16.98,11.59,7.01,14.29,19.95,21.02,17.25,14.29,15.9,44.2,32.88,13.75,10.51,10.24,9.97,7.55,4.31,4.85,1.89,1.08,1.08,1.62,1.35,1.08,0.54,1.08,1.35,2.16,2.16,2.43,4.31,8.36,7.28,15.09,26.95,24.8,44.74,80.32,89.22,93.53,85.98,95.69,90.57,96.23,93.26,91.11,92.45,91.64,95.15,70.35,61.19
BK0725,装修装饰,98.92,97.84,90.57,91.11,94.88,94.88,96.23,95.42,94.07,91.91,90.57,80.59,81.4,76.01,77.63,89.22,85.44,58.22,10.24,2.16,8.09,8.36,15.09,11.05,8.89,15.36,16.71,14.02,7.55,9.16,15.63,9.43,6.74,10.78,9.97,4.85,3.77,7.01,10.51,9.97,10.51,10.78,9.43,12.4,4.31,1.62,1.89,5.12,3.77,3.77,3.77,5.12,4.31,4.85,2.7,7.28,13.21,19.95,12.94,13.21,12.4,17.25,16.98,20.22,34.23,50.67,47.17,36.66,32.35,28.57,36.66,60.38,68.73,68.19,70.35,74.12,75.47,75.2,74.66,84.91,76.82,68.19,75.74,62.26,71.7,69.0,77.9,80.86,78.17,71.43,67.12,29.38,19.41,20.75,29.92,16.71,21.83,16.44,14.82,12.67,13.21,11.59,9.97,11.05,7.28,9.16,6.74,7.55,14.29,20.49,22.1,14.56,15.36,16.44,7.28,15.63,23.45,16.44,16.71,16.98,31.0,42.59,43.67,31.54,33.42,32.88,41.51,38.54,39.62,25.07
BK0437,煤炭采选,98.65,97.04,98.92,97.3,92.18,95.96,84.91,76.28,54.72,41.78,39.62,47.17,78.71,91.64,82.75,60.38,47.71,55.8,34.5,31.0,16.17,21.83,21.02,4.31,13.75,19.68,65.23,77.36,77.63,92.72,95.15,89.49,94.88,78.98,91.91,93.53,88.14,95.96,98.92,99.46,99.19,98.92,95.15,95.69,93.53,94.34,89.76,77.63,85.18,79.51,76.55,82.21,68.46,76.01,19.14,40.43,85.98,67.12,5.93,1.08,1.35,12.94,47.44,81.94,77.09,77.9,84.91,87.33,67.65,81.13,86.52,90.03,95.42,82.21,85.18,64.69,45.82,30.73,56.06,50.13,38.27,1.08,13.75,4.04,10.51,15.9,12.94,61.46,79.25,74.39,38.27,33.42,29.11,76.55,75.2,81.67,72.24,74.93,57.95,36.66,66.04,82.21,85.18,89.22,78.98,85.44,84.1,84.37,85.71,87.06,93.53,92.18,86.79,86.25,87.6,94.07,98.65,98.11,98.65,99.19,99.19,99.19,98.92,99.73,99.73,99.46,99.73,99.46,99.46,99.46
BK0511,ST股,98.38,95.15,91.91,92.99,95.69,95.15,97.3,98.65,97.3,98.11,97.84,98.11,97.04,97.57,97.84,97.57,97.3,96.23,95.15,95.15,93.53,96.77,97.3,95.15,94.07,91.11,87.33,80.59,81.67,75.74,67.12,74.66,77.36,70.08,61.46,46.36,36.66,28.84,43.4,56.87,63.34,52.83,65.77,62.8,15.9,13.48,18.6,18.33,16.17,8.09,7.82,4.31,3.5,13.75,15.63,27.49,44.2,77.63,63.61,69.0,83.29,92.18,64.42,79.78,94.61,96.5,93.53,94.61,93.26,95.42,95.42,97.04,98.38,96.77,98.38,96.77,96.23,95.96,96.5,97.04,91.11,88.14,92.99,85.71,86.79,80.05,87.06,88.68,87.06,83.83,77.09,56.33,49.06,61.99,55.53,65.77,57.95,44.47,24.53,17.52,16.17,9.97,9.43,13.21,18.6,23.45,21.83,19.95,33.96,38.27,44.47,59.57,63.88,56.6,47.17,52.83,67.92,79.25,86.25,81.4,87.87,85.71,86.79,84.64,80.59,79.25,76.82,78.98,68.73,67.39
BK0492,煤化工,98.11,97.3,97.57,97.04,96.5,96.23,94.34,92.18,86.79,71.7,54.72,59.84,80.86,85.71,87.6,77.09,80.32,88.95,89.22,88.41,82.48,71.7,66.58,22.1,20.49,38.81,31.27,42.86,40.97,77.09,85.71,85.44,83.29,65.77,74.93,78.17,70.62,87.06,92.72,92.99,91.37,92.18,86.52,86.52,88.41,90.84,88.95,84.91,88.95,88.14,84.91,85.18,89.22,90.84,82.48,84.1,91.91,88.68,40.16,27.76,41.51,56.6,63.88,83.83,75.2,69.0,71.97,73.05,60.38,67.12,71.16,71.43,84.64,71.16,75.2,62.8,53.64,49.87,61.99,60.38,62.8,36.12,64.15,53.91,67.92,72.51,84.1,91.64,91.64,90.84,89.49,88.14,86.25,89.76,86.79,90.03,84.91,83.29,79.25,73.58,77.9,84.91,81.13,88.68,77.63,79.25,77.9,80.86,86.25,88.14,90.84,86.25,83.83,81.94,90.03,93.53,97.3,97.84,97.84,96.5,97.84,97.84,98.38,98.92,98.65,98.92,98.65,98.38,97.84,97.57
BK0728,环保工程,97.84,97.57,98.11,99.19,99.46,99.46,99.46,99.46,99.19,99.46,99.46,99.46,98.92,98.65,90.57,97.04,92.45,92.18,78.17,94.07,91.64,86.79,71.43,60.38,9.7,12.67,14.56,13.48,0.54,0.54,0.27,0.81,0.54,0.54,3.23,0.54,1.35,4.04,4.31,1.35,5.39,5.39,2.96,4.31,3.77,7.01,19.68,16.44,15.9,21.29,17.25,25.88,31.0,28.3,29.11,29.65,51.75,53.91,31.27,39.08,31.54,37.47,29.92,21.83,27.76,20.22,10.24,19.68,20.22,23.99,30.19,33.96,25.88,29.38,23.72,18.6,6.47,6.2,15.09,23.45,29.92,40.97,62.26,38.54,57.68,59.57,61.19,54.72,45.28,26.68,31.27,29.92,31.27,46.9,45.55,42.32,44.2,47.17,51.48,32.61,31.0,25.88,16.71,26.42,18.06,24.26,29.92,33.96,52.83,61.46,62.8,52.29,45.55,28.84,43.94,56.33,57.95,50.94,43.4,73.85,72.24,72.51,70.08,69.54,59.03,58.76,66.04,57.14,64.69,49.06
BK0692,在线旅游,97.57,98.11,95.96,97.57,98.92,98.11,97.84,95.96,96.77,95.42,90.84,95.69,96.77,94.34,89.22,90.57,88.14,95.42,94.07,65.23,66.58,84.1,77.09,12.13,25.07,48.79,60.11,87.6,71.7,74.66,82.75,35.85,26.68,12.67,35.58,18.6,36.12,0.81,3.5,11.86,9.16,1.62,2.16,1.62,0.54,0.54,0.54,0.54,0.54,0.27,0.27,0.54,0.54,1.08,0.81,0.81,0.54,13.21,11.05,9.16,7.55,13.48,8.89,8.63,21.29,19.95,16.44,22.91,6.47,3.77,8.63,9.16,8.89,6.74,28.84,19.14,17.79,16.17,16.17,10.51,7.82,5.12,8.36,15.36,21.29,9.7,16.71,22.1,62.8,41.51,13.48,15.09,9.16,10.24,6.47,5.39,5.12,3.77,2.7,2.43,2.43,3.5,2.7,1.08,0.54,2.96,2.96,1.89,1.62,4.04,7.82,5.93,12.13,22.64,20.75,40.16,72.24,80.32,87.06,78.71,93.8,88.95,95.15,90.57,90.03,87.6,85.71,90.57,66.31,50.94
BK0603,页岩气,97.3,96.23,96.5,95.42,95.96,95.42,93.53,93.8,90.84,85.98,91.91,91.91,91.11,93.53,97.57,95.69,74.66,51.21,60.92,81.4,89.22,89.22,86.52,75.74,73.58,74.12,74.66,67.65,51.21,49.87,36.39,48.25,46.36,22.91,8.36,5.39,8.63,38.27,38.01,53.37,47.17,51.75,19.68,29.92,30.46,65.5,58.22,66.04,83.83,84.91,80.86,74.39,78.44,79.25,77.36,84.37,96.23,91.11,58.76,28.3,31.81,42.32,39.35,65.5,59.3,62.26,49.6,43.94,36.12,55.26,53.91,57.68,60.11,58.22,54.99,49.6,13.75,26.42,38.81,41.24,46.09,34.5,55.8,30.73,40.43,20.22,36.12,51.48,40.43,20.49,28.3,36.12,40.97,52.56,56.33,59.03,61.99,61.46,59.3,55.53,57.95,59.57,59.03,67.65,67.92,71.97,69.27,70.89,82.21,86.52,91.11,85.71,88.41,88.14,85.44,84.37,90.84,91.11,91.64,90.84,92.72,92.18,90.84,94.07,92.99,90.3,96.23,94.88,91.11,93.26
BK0914,医废处理,97.04,96.77,97.3,98.11,99.19,98.65,98.11,97.84,98.92,98.92,98.92,99.19,98.65,98.38,95.15,97.84,96.23,93.53,87.33,87.33,74.39,75.2,34.23,24.8,4.04,7.28,12.67,12.67,1.08,0.27,0.0,0.27,1.08,1.62,4.85,1.08,6.74,27.76,31.0,18.6,34.77,33.42,42.05,59.84,45.82,67.12,62.26,60.11,71.43,81.13,77.63,77.9,76.82,64.69,55.53,49.33,24.8,23.72,15.9,19.68,15.63,11.05,10.78,4.58,18.33,16.98,12.4,20.49,23.45,22.37,30.73,41.78,43.13,46.9,49.33,48.25,42.86,38.54,53.1,57.95,60.11,65.23,79.51,71.7,86.52,85.98,90.84,90.57,86.52,82.48,81.4,74.12,67.12,71.16,67.39,57.41,58.49,54.99,59.57,56.87,50.13,48.25,39.62,43.94,23.99,32.35,30.46,33.15,50.13,60.65,59.84,46.9,48.52,45.01,64.69,73.58,77.09,77.9,71.97,85.44,91.64,92.99,89.49,88.41,87.87,85.44,85.98,82.75,87.06,83.02
BK0519,稀缺资源,96.77,98.38,99.19,98.92,94.07,93.8,81.67,77.9,43.4,19.14,15.63,14.82,43.4,45.28,67.12,25.07,24.8,51.48,39.89,42.05,57.68,19.95,8.36,2.43,7.82,23.72,33.15,56.06,56.33,83.83,90.3,88.41,90.57,85.98,85.98,89.76,87.87,95.15,98.38,98.65,98.38,97.84,96.5,96.77,96.23,96.23,96.77,91.64,94.07,96.77,96.77,97.3,95.96,95.42,95.69,94.88,96.77,91.64,37.2,7.28,14.82,26.68,56.33,76.82,57.41,39.08,43.4,61.73,39.08,42.05,47.71,41.24,52.56,28.03,17.52,19.68,15.09,21.56,50.4,54.45,67.65,53.37,83.02,80.32,89.22,91.37,94.34,95.15,96.77,95.69,95.42,95.42,95.96,97.04,97.84,98.38,97.04,95.96,95.15,93.26,95.69,95.42,94.88,94.88,90.57,90.57,90.84,92.18,88.14,93.8,92.72,89.22,85.98,80.59,90.57,92.45,95.69,96.5,97.57,98.38,98.11,98.65,97.57,97.57,98.11,98.65,98.11,98.92,99.19,99.19
BK0949,氦气概念,96.5,95.96,95.42,94.07,91.37,85.44,76.82,86.52,92.72,98.38,95.42,96.23,94.88,91.91,83.56,49.87,16.98,51.75,97.57,98.65,95.69,97.84,94.07,89.49,87.6,91.91,94.61,98.38,87.33,36.66,84.64,95.15,90.03,88.95,87.6,85.71,83.56,85.44,7.55,9.16,4.58,0.27,1.89,3.5,4.04,3.77,6.74,1.89,6.2,5.66,2.43,1.62,2.16,2.16,14.29,26.95,27.76,26.95,44.74,38.54,23.18,30.73,29.65,29.92,26.15,23.45,40.16,56.87,53.1,39.35,54.45,53.1,40.7,50.13,37.47,46.09,47.98,40.43,34.23,26.15,64.69,74.93,79.78,83.56,90.3,87.06,82.75,68.46,83.29,91.37,85.44,91.11,91.11,91.37,90.57,88.68,89.76,94.88,97.57,98.65,97.57,98.11,97.57,97.84,97.57,98.38,98.38,98.92,99.46,99.73,99.73,99.73,99.73,99.46,99.46,99.46,99.19,98.38,96.23,89.49,67.12,75.47,57.95,50.67,65.23,22.64,47.17,29.65,1.35,0.54
BK0563,油价相关,96.23,90.03,74.93,81.4,83.56,82.48,84.64,84.1,71.16,38.54,42.59,39.89,75.74,83.02,90.84,81.94,76.82,84.37,50.13,53.91,70.89,64.96,70.35,9.97,10.24,29.65,25.34,45.01,38.81,28.57,31.54,26.15,18.06,11.05,13.75,19.95,31.0,59.3,81.13,82.21,75.2,79.51,73.85,75.74,77.9,86.79,80.32,78.98,80.86,85.71,90.84,92.99,93.26,94.88,87.33,89.76,94.34,92.72,65.77,37.2,43.13,51.75,48.25,70.35,66.04,54.99,53.64,52.29,40.7,43.13,34.23,34.5,42.05,31.0,50.94,35.58,13.21,13.75,17.25,28.84,24.8,14.82,18.6,2.7,2.7,2.43,4.31,12.4,19.41,15.09,9.7,10.24,9.97,22.64,31.54,37.74,25.61,20.22,14.56,6.74,9.97,11.32,15.63,22.91,17.25,23.72,24.26,20.75,32.08,36.93,54.72,33.69,29.65,12.67,9.43,17.79,48.79,71.7,81.67,84.91,91.11,90.03,93.26,94.34,95.42,94.61,96.77,97.04,95.15,95.42
BK0484,国际贸易,95.96,90.57,82.48,83.56,85.44,84.91,87.33,90.57,90.03,91.11,92.18,92.72,91.37,90.3,91.64,94.34,94.88,90.3,77.63,75.47,71.16,87.33,91.64,79.25,84.1,90.03,93.8,88.68,87.06,86.52,77.36,72.78,70.62,69.81,63.88,45.01,35.04,39.35,50.94,49.6,50.94,38.01,30.46,39.35,39.89,34.23,21.29,40.16,57.95,32.08,20.49,28.57,25.61,52.56,70.62,70.89,86.52,97.04,94.34,90.84,87.87,86.25,64.69,72.51,66.58,61.19,59.3,56.33,51.21,54.72,57.14,63.07,62.53,42.05,33.69,26.42,18.87,10.51,12.67,13.48,13.75,20.22,28.3,23.18,23.99,36.93,47.98,44.74,40.7,43.4,43.4,21.02,29.38,49.06,44.74,48.25,38.27,32.88,30.19,26.15,31.81,29.38,34.5,40.97,32.08,34.23,23.99,26.15,33.15,30.19,33.69,46.09,47.71,32.35,37.2,56.87,69.54,75.2,77.63,76.82,80.05,76.82,76.55,76.28,81.13,83.02,84.1,86.79,81.4,86.52
BK0820,壳资源,95.69,92.45,93.53,93.53,96.23,96.5,95.96,95.69,92.18,92.18,92.72,92.45,87.87,85.98,81.13,83.56,78.98,73.05,78.98,80.32,78.98,84.37,83.29,73.05,66.04,69.81,78.17,66.31,67.39,68.73,55.8,50.67,47.98,46.09,48.25,40.7,41.24,45.28,54.99,57.14,69.54,67.39,70.89,76.01,45.28,41.24,24.8,28.3,36.12,47.98,44.2,54.18,56.87,67.92,75.74,81.4,84.91,90.57,78.71,74.39,81.94,85.44,67.65,76.01,84.64,84.91,79.25,77.9,71.97,72.51,72.24,70.89,73.85,65.5,67.39,61.73,60.65,62.8,63.61,65.5,56.06,48.79,57.68,51.21,54.45,53.91,52.56,57.41,64.69,61.73,63.88,62.26,60.92,67.65,60.92,56.06,54.99,52.02,45.55,39.08,34.5,35.31,40.43,48.52,56.6,57.14,60.38,60.65,64.15,60.38,60.65,69.81,76.82,73.85,74.39,76.01,80.86,80.86,81.94,76.01,79.25,77.36,78.44,73.85,63.61,65.77,64.15,63.07,62.53,71.16
BK0822,租售同权,95.42,93.8,90.03,92.45,96.77,97.3,96.5,94.88,94.34,94.61,94.34,64.96,77.09,84.64,84.37,86.79,84.1,84.91,62.8,53.37,46.36,56.6,63.61,36.12,12.13,17.25,36.93,25.07,16.98,20.22,17.79,17.25,19.41,24.53,26.15,29.92,38.27,57.68,60.38,41.51,67.12,48.25,43.94,65.23,58.49,56.33,34.23,58.22,66.31,61.99,60.38,78.98,86.25,87.06,80.05,64.15,72.24,83.83,56.06,43.13,34.5,35.31,18.6,9.7,9.7,14.56,18.33,14.82,7.55,6.2,7.28,5.66,2.43,0.54,1.08,1.62,4.04,1.62,3.5,15.09,8.09,15.09,22.91,15.63,29.92,18.33,25.88,33.15,34.23,34.77,29.11,28.3,31.0,27.49,23.18,26.42,14.02,13.48,13.48,8.89,8.63,10.78,10.24,14.56,8.89,23.18,13.21,9.43,10.78,19.41,26.95,12.4,14.29,18.06,22.64,23.72,46.63,38.81,33.69,42.32,68.73,65.5,71.97,53.1,52.02,44.2,56.6,57.41,63.61,45.55
BK0734,珠宝首饰,95.15,92.72,85.18,82.75,86.25,82.21,86.25,91.37,89.22,88.68,89.76,79.25,78.98,87.87,71.7,92.45,84.64,93.8,84.91,80.05,61.99,67.92,64.15,34.23,46.9,55.26,47.44,18.06,14.56,11.05,7.82,5.93,7.01,5.93,15.9,16.17,23.45,36.93,51.48,52.56,48.25,51.21,56.06,48.79,38.27,73.85,53.1,74.66,69.81,78.98,65.23,86.52,82.48,85.18,61.73,35.58,43.4,18.87,7.01,15.36,36.93,37.2,23.45,33.69,29.92,9.43,10.78,7.82,4.31,2.43,4.04,2.96,5.66,5.39,7.82,7.55,6.74,20.22,38.54,49.87,21.56,19.41,33.15,27.49,28.3,30.73,60.65,56.06,68.19,67.12,66.85,57.41,43.67,42.59,30.73,33.69,28.84,16.17,11.32,4.58,7.55,8.36,9.16,7.01,8.09,8.36,5.66,6.2,7.82,8.89,7.28,6.2,6.74,6.2,9.97,13.21,21.02,30.19,23.18,23.45,37.74,35.58,35.85,38.27,35.31,42.32,49.6,66.58,65.5,45.28
BK0436,纺织服装,94.88,87.87,83.29,87.87,91.91,92.18,94.88,94.34,91.37,90.57,92.45,94.34,96.5,95.15,94.61,95.96,95.69,97.04,94.88,95.69,95.96,96.5,96.77,94.34,92.99,93.53,87.6,81.4,84.37,88.68,79.78,63.61,39.35,69.27,70.62,66.85,63.34,66.04,73.05,50.94,64.42,69.27,68.19,63.07,46.36,43.13,36.66,46.9,63.88,51.48,56.33,56.33,43.13,20.75,25.88,34.23,73.05,69.0,46.09,41.24,51.48,45.55,33.42,41.78,40.43,40.16,40.97,48.52,45.82,50.13,48.79,49.87,56.06,57.95,74.66,59.84,58.22,54.72,57.68,66.04,54.72,52.29,61.46,58.22,68.46,72.78,70.08,64.69,62.26,43.67,42.59,32.88,24.26,29.38,15.9,19.95,15.63,10.24,6.47,6.47,7.28,8.09,7.82,6.2,5.66,5.93,8.09,9.97,13.48,23.45,21.29,31.0,34.23,27.22,35.58,30.19,43.67,45.28,45.55,42.86,48.52,45.55,52.56,56.87,52.56,61.19,59.57,54.72,53.37,41.51
BK0420,民航机场,94.61,94.88,81.13,90.57,93.8,91.11,92.99,94.61,96.5,93.8,86.25,88.41,94.61,96.77,98.11,95.15,95.96,97.84,97.3,94.61,92.72,83.83,81.67,25.88,10.78,14.56,14.29,47.98,22.64,22.1,26.68,24.26,7.28,5.39,6.47,8.63,8.36,4.85,12.13,4.04,4.31,2.96,3.5,2.7,5.39,13.21,10.78,19.41,16.44,18.87,63.88,74.93,79.51,91.64,46.9,45.01,60.92,81.94,61.19,52.29,58.76,69.54,58.76,61.46,51.21,33.42,41.78,28.57,22.91,8.36,8.89,6.2,4.58,1.62,5.66,4.85,1.08,1.89,1.89,5.39,1.08,3.5,2.43,0.81,0.0,0.54,0.27,0.27,4.58,7.01,0.81,1.08,1.08,3.77,8.36,4.04,3.77,2.7,2.43,1.89,1.89,1.89,0.54,3.23,2.16,4.58,3.23,2.43,1.89,4.85,17.25,10.78,12.67,7.28,4.85,18.6,42.59,58.22,60.92,66.58,83.83,73.85,87.87,88.68,92.72,84.64,92.99,94.34,82.75,44.2
BK0425,工程建设,94.34,94.34,92.18,91.91,94.34,94.07,94.61,95.15,93.53,94.07,94.61,89.22,90.84,92.18,97.04,98.11,97.84,95.96,93.53,85.18,87.6,83.02,83.02,64.96,53.64,67.65,62.26,50.67,44.74,33.69,27.49,40.7,40.97,30.19,18.06,5.93,7.28,9.43,14.56,13.48,14.29,9.97,9.16,11.05,10.51,12.13,11.59,16.71,19.14,17.25,13.75,14.29,13.21,10.24,7.82,6.47,9.43,9.97,7.82,11.59,9.97,11.59,14.02,17.52,23.18,23.99,25.34,22.64,22.64,23.45,29.38,39.08,48.25,51.48,55.26,53.37,49.33,57.41,55.53,60.92,59.03,56.6,63.34,54.72,65.23,63.07,73.32,77.09,75.47,71.7,71.43,61.46,59.57,61.46,54.99,62.26,53.37,53.91,56.6,55.26,49.06,54.99,55.8,57.41,44.74,50.94,41.24,42.05,52.56,65.77,74.66,65.5,52.56,40.16,48.25,54.72,63.88,63.88,62.8,67.92,82.21,86.25,84.1,86.25,87.6,83.83,86.25,86.52,83.02,72.24
BK0818,可燃冰,94.07,89.22,88.14,81.67,73.32,82.75,79.51,78.98,66.31,45.82,71.16,68.19,72.51,87.33,96.5,90.03,69.81,20.22,2.96,2.7,14.29,15.09,10.78,11.32,14.82,11.86,18.06,24.53,21.56,11.32,16.71,21.56,24.53,11.86,5.93,5.12,6.47,32.35,47.17,75.47,61.19,65.23,47.44,57.41,49.87,79.25,69.81,71.43,76.82,81.4,77.9,68.19,56.6,49.6,22.91,33.42,85.44,68.46,34.77,17.52,28.57,44.47,38.54,53.1,49.33,55.53,52.83,44.47,45.28,67.65,60.65,66.58,76.82,69.54,80.32,74.93,43.13,61.19,62.53,64.96,56.87,40.43,56.33,43.94,52.83,28.84,49.6,72.51,58.76,13.75,26.68,49.87,42.05,59.3,62.53,63.07,60.38,45.82,51.21,39.62,52.02,57.68,58.76,60.92,59.03,55.53,48.52,49.06,61.46,71.7,79.51,57.41,74.39,72.51,69.54,65.23,72.78,76.01,78.17,80.32,86.52,83.02,86.25,95.96,94.61,94.07,97.84,98.11,95.96,96.5
BK0873,垃圾分类,93.8,94.07,95.69,95.96,97.84,98.38,98.38,98.38,98.38,97.84,98.11,97.3,96.23,94.88,90.3,94.61,91.91,92.45,91.91,92.99,90.84,82.75,62.26,51.75,12.94,15.9,19.14,14.29,4.04,4.04,3.5,6.47,5.12,6.74,12.67,6.2,15.36,18.6,19.14,10.24,13.75,14.56,12.13,22.37,18.33,14.56,23.18,28.57,31.54,28.57,25.61,36.93,35.85,33.15,23.72,30.46,33.96,40.43,30.46,35.31,36.39,41.51,40.97,28.03,33.15,36.39,28.84,31.27,31.0,33.42,42.05,43.94,39.08,38.01,42.59,36.39,25.88,28.03,35.58,44.47,43.4,46.63,56.87,52.56,65.5,65.23,69.0,71.97,71.97,62.8,58.49,46.9,40.43,52.83,47.71,47.17,48.25,52.56,55.26,46.9,45.01,39.08,37.47,45.01,37.47,48.52,49.6,52.83,60.92,66.04,71.43,71.7,75.74,69.54,73.85,75.74,76.82,74.12,73.58,77.9,79.78,80.05,81.94,78.98,72.51,66.85,70.08,66.04,64.96,60.11
BK0684,京津冀,93.53,91.11,87.6,88.68,88.95,85.18,85.18,85.44,86.52,81.13,81.13,67.12,66.31,70.62,56.06,78.71,68.73,71.43,58.76,51.21,33.96,47.17,66.85,38.54,25.88,50.4,58.76,38.81,36.39,47.98,49.33,60.92,51.48,49.33,54.72,22.64,24.26,39.08,54.45,56.6,73.58,72.78,59.03,49.33,52.29,57.41,39.89,40.97,43.13,51.75,36.66,43.67,46.9,53.37,47.71,50.13,61.46,58.22,36.12,24.53,16.17,16.98,13.48,14.82,13.21,11.05,14.56,21.83,15.9,14.56,21.02,17.52,15.09,9.97,14.56,14.02,5.93,6.74,9.97,15.63,20.22,21.29,32.61,32.08,34.5,30.46,44.47,48.25,54.18,47.98,43.94,39.62,42.59,49.6,44.47,46.09,43.4,41.51,38.27,30.19,27.76,29.65,28.57,34.77,38.01,46.9,46.09,46.09,45.28,55.26,61.99,58.22,58.22,48.79,56.33,57.41,70.62,71.43,73.32,74.66,85.44,82.21,84.91,85.18,84.1,83.56,83.56,83.56,85.44,83.56
