,NAME,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15
BK0577,核能核电,65.77,69.0,45.82,34.23,39.89,42.59,28.3,24.53,21.02,22.37,18.06,15.9,17.25,24.26,24.53,29.38,28.03,29.92,32.35,29.65,28.03,35.85,36.39,36.39,41.51,42.59,40.43,43.4,40.97,46.9,49.33,56.06,52.02,58.49,58.49,58.49,67.65,70.35,63.34,62.26,63.07,62.8,59.3,58.22,61.46,64.96,67.92,70.35,70.62,72.51,71.16,71.97,69.81,71.16,73.32,72.78,76.28,76.28,76.82,79.78,80.59,80.59,82.21,84.64,85.18,86.52,87.33,86.52,87.33,88.14,89.49,88.68,88.41,87.87,88.68,88.68,89.22,91.64,92.18,92.45,91.64,91.37,92.72,92.18,91.91,91.11,91.11,90.84,90.03,89.22
BK0525,参股银行,65.5,69.81,62.8,56.6,54.72,56.6,42.32,41.51,39.62,43.4,40.7,38.81,38.81,40.7,38.54,42.32,43.67,39.08,39.35,34.77,38.27,40.7,38.81,36.93,37.47,36.39,33.69,34.77,32.35,33.42,36.93,40.7,40.7,40.7,38.81,39.35,41.51,39.62,38.27,38.81,35.85,35.31,32.88,29.65,31.0,32.88,33.42,37.2,35.58,36.66,36.93,38.01,34.77,33.96,33.69,30.73,32.88,31.0,31.0,32.61,34.5,34.77,37.2,41.24,40.16,39.89,44.47,45.01,48.52,47.71,53.1,53.1,57.68,54.99,56.6,59.57,58.49,62.53,61.46,63.07,60.65,61.99,65.5,63.34,66.31,69.0,71.16,67.12,67.39,62.26
BK0845,百度概念,65.23,43.13,53.91,66.58,76.82,72.78,85.18,86.52,83.02,84.1,85.71,88.68,87.33,86.25,83.02,82.75,81.67,87.06,88.68,87.6,85.98,81.67,83.02,83.83,80.32,77.09,77.63,76.82,71.97,65.77,54.99,42.86,37.74,47.17,51.75,52.56,54.18,53.64,52.83,48.52,53.37,57.68,60.11,60.11,61.73,60.38,59.03,54.72,55.8,51.75,55.26,53.91,53.37,51.75,49.33,53.91,52.56,53.91,50.13,48.52,47.17,54.99,54.18,47.44,44.74,44.2,33.96,35.85,34.5,39.35,36.93,30.46,29.65,31.27,26.68,21.29,21.02,16.98,20.49,20.22,22.64,18.33,9.97,11.05,8.63,8.36,6.2,6.2,4.85,14.02
BK0458,仪器仪表,64.96,56.6,57.95,64.96,66.58,63.34,68.46,70.89,73.05,70.89,68.73,69.27,69.27,72.24,70.62,73.32,70.62,71.97,72.51,74.12,79.25,80.05,80.32,80.05,84.37,83.02,82.48,81.94,80.32,81.4,76.28,75.74,74.93,73.05,75.74,76.82,75.47,77.09,76.01,76.82,77.63,79.51,80.59,83.83,81.13,80.59,80.86,80.05,80.59,80.59,78.71,77.36,78.17,77.9,75.74,74.39,71.43,76.55,75.74,76.01,75.2,74.93,73.05,70.89,70.08,71.16,71.43,69.54,62.26,62.53,59.03,56.87,48.79,50.4,51.75,53.64,56.87,56.06,59.84,54.45,53.1,50.67,50.67,55.8,48.79,41.78,39.08,38.54,49.33,51.75
BK0954,盲盒经济,64.69,56.87,54.99,60.65,84.1,85.44,89.76,84.37,82.75,78.98,78.98,83.29,84.91,88.41,78.17,62.8,52.83,54.72,55.53,54.72,44.2,32.35,35.04,34.77,34.23,22.64,16.17,24.8,28.84,22.91,12.13,9.7,19.95,30.46,33.15,38.81,54.72,49.33,37.74,46.09,51.48,47.71,45.01,34.5,35.04,30.46,19.14,31.81,31.27,25.88,28.57,30.73,28.84,21.02,12.67,11.32,6.47,9.16,5.39,4.31,5.66,4.31,5.66,4.31,1.89,1.62,0.54,0.81,1.08,5.66,4.04,4.31,4.58,3.23,4.85,7.01,6.47,5.66,5.39,8.36,5.39,4.85,4.31,4.04,10.51,11.32,8.63,2.7,3.23,4.85
BK0421,高速公路,64.42,67.65,61.19,30.46,26.15,35.85,21.02,21.02,26.68,33.42,28.84,24.8,23.18,21.83,18.87,22.91,24.8,13.75,6.2,7.28,7.55,10.24,8.89,9.97,8.63,9.97,7.82,10.51,6.47,4.58,5.66,8.09,11.05,10.24,15.63,15.09,17.25,15.63,19.95,18.87,11.32,7.55,4.85,4.58,4.04,6.47,7.82,8.36,6.47,8.63,9.16,10.51,9.97,13.75,16.44,18.87,22.91,22.1,24.26,25.07,29.11,25.88,25.61,30.73,33.96,31.0,35.04,32.08,32.88,33.15,46.09,47.17,59.84,51.75,53.37,52.02,49.6,66.31,69.0,72.78,69.27,72.51,77.63,72.24,76.55,80.05,81.13,81.4,80.32,74.93
BK0644,特斯拉,64.15,61.99,73.32,72.78,74.12,71.43,72.51,73.32,74.12,69.27,70.89,76.55,77.09,84.64,87.33,87.33,86.25,88.68,88.95,88.95,86.79,87.6,88.14,89.76,90.3,91.91,91.64,92.18,91.91,89.49,89.49,85.98,85.71,86.52,88.41,87.6,88.14,86.79,85.71,86.25,85.98,87.06,88.95,89.22,91.64,91.64,92.18,91.64,89.22,89.76,87.6,88.14,86.25,85.18,84.1,84.64,84.37,83.02,82.48,82.48,79.78,81.4,80.05,80.86,79.51,80.05,78.17,77.36,80.59,81.4,79.78,79.25,78.17,80.86,78.98,77.09,76.82,73.58,71.43,71.43,73.32,69.81,66.58,69.81,62.26,52.83,46.63,50.94,59.84,69.27
BK0594,长江三角,63.88,67.92,61.99,56.87,56.6,56.33,45.55,43.94,42.86,41.78,41.78,42.32,40.7,36.93,36.66,41.78,43.4,39.89,40.16,38.01,38.54,42.32,42.32,42.86,43.94,44.2,47.98,47.17,45.55,44.2,43.13,48.52,46.36,45.82,44.74,47.17,45.55,47.17,46.63,45.55,43.94,44.2,42.05,41.51,41.78,43.13,42.32,43.67,43.67,44.74,43.94,43.4,43.13,43.67,43.67,43.4,43.94,42.59,43.13,43.67,46.09,44.47,45.28,49.06,47.17,48.79,53.37,52.29,54.72,56.06,58.76,57.14,63.07,60.92,63.61,63.88,63.07,64.96,64.15,65.77,61.73,61.19,64.15,61.19,63.07,63.07,61.46,60.92,63.34,59.84
BK0581,智能电网,63.61,54.72,56.87,64.15,67.39,67.92,64.15,67.39,54.45,60.92,61.73,60.65,57.68,60.65,57.14,71.16,62.53,64.96,72.24,70.08,66.31,72.24,70.89,71.16,76.55,79.25,79.51,81.13,83.56,85.18,82.75,81.94,80.86,84.1,86.25,84.91,84.64,87.6,87.6,87.06,87.33,90.3,89.49,90.57,88.41,89.49,88.14,86.79,90.84,93.26,93.26,91.37,90.03,87.87,88.95,87.06,87.33,87.33,87.33,87.33,85.98,83.83,84.91,84.1,84.1,86.79,87.06,85.44,85.44,86.79,83.83,85.98,84.91,85.98,85.98,85.18,86.25,87.06,86.79,86.79,88.14,87.6,89.22,90.57,90.03,88.41,88.95,88.14,88.14,86.79
BK0911,口罩,63.34,61.46,58.49,53.37,45.82,47.44,42.05,44.47,45.55,38.81,36.66,40.43,43.94,46.09,46.36,47.17,48.25,50.94,51.21,46.63,54.18,54.99,49.6,45.01,50.94,47.71,52.83,51.48,50.4,52.29,47.71,44.2,47.98,45.55,44.47,43.67,37.74,35.85,33.96,40.7,41.51,43.4,49.6,52.29,53.37,52.29,49.87,51.48,50.4,51.21,50.4,51.21,52.56,51.48,48.79,47.71,49.06,48.52,47.98,48.25,49.33,49.33,47.44,47.98,45.82,45.55,50.4,50.4,49.33,48.52,47.98,45.55,45.55,49.06,50.13,49.6,47.44,43.94,40.7,39.35,32.35,32.35,30.46,35.04,30.46,32.61,31.27,31.27,32.35,26.68
