,NAME,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15
BK0889,医疗美容,99.73,99.73,99.46,99.19,99.73,99.73,99.73,99.19,99.46,98.92,98.65,98.11,97.84,98.11,98.65,99.19,99.19,98.92,98.92,98.92,98.65,98.11,97.3,96.5,93.53,87.06,84.37,79.51,69.0,79.78,81.13,83.29,82.21,72.24,66.04,63.34,49.87,25.34,12.4,15.09,5.12,7.28,12.94,11.59,8.09,2.16,1.62,1.62,2.43,0.81,0.54,1.08,1.62,1.08,0.54,0.81,0.54,0.54,0.0,0.0,0.54,0.81,1.08,1.62,1.08,1.08,1.35,2.16,1.89,2.96,2.96,2.16,1.89,1.62,1.62,1.62,1.08,1.35,1.35,1.62,1.35,1.08,1.35,2.16,2.16,2.16,7.55,12.4,9.43,2.16
BK0477,酿酒行业,99.46,99.46,99.73,99.73,99.46,99.46,99.46,99.46,99.73,99.73,99.73,99.73,99.46,99.46,98.11,98.65,98.92,98.65,98.38,98.11,98.92,97.3,97.57,97.84,97.84,97.3,93.53,90.57,92.45,93.26,92.72,92.18,90.03,87.6,85.98,77.63,78.17,64.42,42.32,59.3,45.01,20.75,39.62,41.78,24.8,19.68,17.25,21.02,40.16,35.04,30.19,23.72,22.1,4.85,6.74,5.66,2.7,1.89,1.89,1.89,1.08,0.54,0.27,0.0,0.27,0.54,0.81,1.62,0.81,0.54,0.27,0.27,0.27,0.27,0.27,0.81,0.81,0.54,0.54,1.08,3.5,2.96,4.58,2.96,2.7,3.5,15.63,36.93,21.83,12.13
BK0896,白酒,99.19,99.19,99.19,99.46,99.19,99.19,99.19,98.65,99.19,99.19,99.19,99.19,98.92,98.65,97.84,98.38,98.65,97.84,98.65,98.38,99.19,98.65,98.11,98.38,98.11,98.11,94.34,92.45,94.61,95.69,93.8,93.8,94.07,91.64,90.57,86.79,84.91,77.36,60.11,73.32,59.03,45.82,57.14,57.14,45.28,44.2,41.78,47.71,56.6,50.13,47.44,40.16,42.59,21.56,20.75,16.71,9.7,7.82,8.09,6.74,4.31,2.96,1.35,0.27,3.23,3.23,3.77,6.2,4.04,4.04,1.35,2.7,2.96,2.43,2.16,3.23,3.5,2.96,2.16,2.43,6.2,4.04,7.82,5.39,4.58,7.01,15.36,28.84,12.67,5.93
BK0973,注射器概念,98.92,98.92,98.38,98.11,98.38,98.65,97.57,97.57,97.57,98.11,97.04,96.5,97.57,97.57,97.04,97.57,97.84,98.11,97.84,97.04,97.84,98.38,98.65,97.57,97.57,97.04,96.77,97.57,98.11,98.65,98.38,97.57,97.57,96.5,96.77,93.26,91.37,85.71,81.67,85.71,79.51,76.82,83.02,90.84,85.98,87.6,81.13,78.71,71.16,69.54,71.97,73.32,74.66,73.05,71.16,73.05,71.16,62.26,53.91,56.33,52.83,60.11,55.53,55.8,62.53,64.15,69.81,67.92,66.85,64.15,62.53,66.31,61.19,66.58,57.68,59.03,70.08,57.68,55.26,60.92,66.04,67.92,44.2,74.39,60.38,67.65,77.9,74.12,73.05,53.37
BK0899,CRO,98.65,98.38,98.92,98.92,98.92,98.92,98.11,98.38,98.38,98.38,98.11,97.84,98.38,98.38,98.92,98.11,98.11,97.57,97.04,95.42,98.11,97.04,95.96,90.84,89.22,81.4,82.21,89.76,91.64,92.18,92.99,89.22,87.87,81.4,83.02,70.89,61.73,43.67,45.82,67.92,61.19,66.04,74.66,80.86,78.98,79.78,69.81,67.39,53.37,58.49,59.03,54.72,45.01,37.74,31.0,42.32,36.66,40.16,47.17,37.74,32.08,32.61,23.72,18.87,21.56,13.75,13.48,29.38,23.72,23.72,25.07,19.95,11.05,15.09,20.22,34.5,46.9,45.28,35.85,52.02,43.67,57.95,75.2,86.52,85.44,86.25,89.76,89.22,83.83,77.36
BK0968,固态电池,98.38,98.11,98.65,98.65,98.11,98.11,97.84,97.84,98.11,97.57,97.57,98.38,98.11,98.92,99.46,99.46,99.46,99.73,99.73,99.73,99.73,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.73,99.73,99.73,99.46,99.19,99.19,99.19,99.19,99.19,99.19,98.38,98.38,98.38,98.11,98.65,98.65,98.65,98.65,98.92,98.92,98.38,98.38,97.57,97.3,96.23,96.5,96.5,97.57,97.57,97.04,96.23,95.42,93.53,95.15,94.07,95.42,94.88,94.88,91.91,94.07,94.88,95.96,94.34,93.53,92.72,93.26,92.45,91.11,90.84,85.98,85.18,86.25,90.3,87.06,88.41,90.3,81.94,81.94,59.57,60.11,48.79,83.29
BK0974,化妆品概念,98.11,98.65,97.84,97.84,97.84,97.3,97.04,97.3,97.04,97.04,93.8,93.53,93.53,94.88,92.72,92.18,93.8,93.53,93.26,93.26,93.53,92.18,91.37,88.95,84.1,68.46,69.27,64.69,57.68,64.42,71.16,70.08,63.88,51.75,40.43,40.43,29.38,15.09,10.78,11.86,7.01,6.2,9.7,11.05,10.24,5.39,3.5,5.39,4.31,2.7,1.89,2.43,3.77,2.7,2.43,2.16,1.35,2.7,1.62,1.62,2.43,2.43,2.43,2.96,2.96,3.77,2.96,3.5,2.7,2.7,3.23,2.96,2.16,2.16,2.7,3.77,2.7,3.5,2.43,2.96,2.16,2.43,1.89,3.23,2.96,3.77,8.09,11.86,13.48,5.66
BK0939,辅助生殖,97.84,97.84,97.57,97.3,97.04,96.5,95.69,95.69,95.42,95.42,88.68,89.76,91.11,90.84,85.71,84.37,84.37,80.05,73.58,71.43,69.27,62.53,57.68,51.48,40.43,29.65,32.88,24.26,19.95,23.18,22.1,23.72,28.03,23.18,23.18,16.17,4.31,1.62,0.81,1.89,1.89,1.62,3.5,4.31,5.12,2.43,2.16,1.89,2.16,1.62,1.62,1.89,2.43,2.43,1.62,1.89,1.62,1.62,1.35,1.08,1.35,1.62,1.89,1.35,0.81,0.81,1.08,1.35,1.62,1.62,2.43,1.89,2.43,2.7,2.96,2.7,3.23,4.04,3.5,3.23,2.96,3.23,4.04,4.58,5.39,9.7,10.24,16.44,13.21,3.5
BK0698,免疫治疗,97.57,97.3,97.3,97.04,97.3,96.77,96.5,96.5,96.23,96.23,93.53,92.72,92.72,93.53,92.99,92.45,92.72,94.07,94.34,93.8,95.42,95.96,95.42,95.42,92.72,90.3,88.14,84.91,83.29,84.1,77.9,76.82,76.01,67.92,67.65,52.29,32.08,15.9,14.02,26.68,18.06,32.88,38.81,46.9,37.74,26.95,12.67,9.7,8.09,7.82,8.36,8.36,10.51,11.59,8.36,7.82,6.74,8.36,4.31,5.12,5.39,6.2,5.12,4.58,4.85,6.47,7.82,7.82,8.09,8.09,7.55,7.55,7.55,8.09,6.74,5.39,8.09,6.2,4.31,4.04,2.43,1.89,1.62,2.7,2.43,3.23,2.96,2.96,2.16,1.89
BK0723,高送转,97.3,97.04,97.04,96.5,96.5,95.69,96.77,96.77,95.69,81.67,80.05,74.93,80.86,88.14,89.49,91.64,87.33,88.41,88.14,86.79,86.25,83.83,85.18,86.79,83.56,82.48,83.29,83.83,83.02,85.71,86.79,83.02,81.67,80.59,80.86,77.9,76.01,75.47,77.36,80.86,82.48,84.37,87.87,91.11,89.76,88.14,85.44,85.44,84.1,82.75,81.67,80.32,83.29,81.94,81.67,79.51,78.71,77.36,75.47,74.66,71.97,71.97,70.89,69.27,69.54,69.81,66.85,70.35,68.46,69.54,67.12,66.04,55.26,56.87,52.56,53.37,56.6,52.29,50.4,50.67,61.46,58.49,58.76,62.26,54.18,49.87,47.17,49.06,53.64,53.91
BK0951,刀片电池,97.04,97.57,98.11,98.38,98.65,98.38,98.38,98.11,97.84,97.84,98.38,98.65,99.19,99.73,99.73,99.73,99.73,99.46,99.46,99.46,99.46,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.46,99.46,99.19,99.19,99.46,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.46,99.46,99.46,99.19,99.73,99.73,99.73,99.46,99.19,97.84,98.38,98.11,97.84,98.11,96.77,96.5,97.3,97.84,95.15,96.5,98.11,96.77,97.3,94.07,95.96,97.84,99.19
BK0727,医疗行业,96.77,96.23,96.5,96.77,95.96,96.23,95.96,95.96,95.96,95.96,92.99,93.26,94.07,95.15,93.8,93.26,94.34,94.88,95.15,93.53,94.88,95.15,93.26,90.03,88.68,83.56,81.67,77.63,75.74,79.25,76.82,70.35,70.62,60.92,58.22,37.74,21.02,9.43,9.97,22.37,17.52,27.49,40.43,50.13,44.2,38.81,23.18,22.1,12.4,12.67,11.05,10.78,12.13,11.86,9.97,12.67,5.66,6.47,3.5,2.96,3.77,4.04,3.23,3.5,3.77,2.96,1.89,3.77,2.16,1.89,1.62,1.35,0.81,1.08,0.81,1.08,1.35,1.08,1.08,1.35,1.08,1.35,1.08,1.89,1.08,1.08,1.08,1.89,1.89,1.08
BK0676,独家药品,96.5,96.5,96.23,95.96,95.69,95.42,94.61,94.34,88.41,89.76,80.86,70.62,76.01,80.59,78.71,74.93,76.82,81.13,81.13,82.48,93.26,92.45,86.52,78.44,70.62,63.07,59.57,57.95,61.19,66.04,65.23,66.58,62.8,47.71,48.52,35.31,24.8,13.48,14.29,21.02,11.59,15.63,24.8,29.11,25.61,20.22,10.24,10.78,9.97,6.2,4.58,4.04,5.93,6.47,4.58,3.23,4.04,3.23,3.77,4.85,4.04,4.58,4.85,4.85,4.58,5.12,6.47,11.59,13.21,13.48,11.05,15.09,11.59,12.67,11.32,10.51,11.32,8.63,6.2,4.31,1.89,2.16,3.23,7.01,7.01,9.16,7.82,12.94,8.09,4.31
BK0906,流感,96.23,94.61,95.69,95.42,95.15,94.61,94.07,93.26,90.84,90.03,83.29,77.63,82.75,84.37,81.94,81.4,84.1,84.37,86.79,86.25,91.37,91.11,87.6,85.71,78.71,72.78,64.96,59.3,60.11,60.92,61.73,66.85,71.97,62.26,58.76,43.4,33.15,24.53,16.17,27.49,18.6,33.42,39.35,47.44,46.09,38.01,20.22,21.56,22.1,14.02,14.56,13.75,20.75,18.87,15.9,15.63,15.63,18.06,15.63,16.44,15.36,15.9,13.75,12.94,14.02,15.36,19.41,25.34,25.34,23.99,27.49,26.68,26.95,24.26,23.99,25.07,27.22,22.37,18.33,18.6,12.4,15.36,21.02,25.88,24.26,27.49,30.46,36.12,32.08,20.49
BK0933,退税商店,95.96,95.96,93.26,89.76,87.6,88.41,83.29,70.35,61.19,67.65,64.15,54.18,53.64,48.25,43.4,36.39,47.98,51.75,49.33,39.89,47.71,40.16,40.7,37.47,35.85,24.53,17.25,14.02,3.23,2.43,2.43,3.23,2.16,3.23,5.12,5.66,5.93,5.12,2.96,2.7,3.23,2.16,2.16,2.43,1.89,1.62,2.43,2.43,2.96,3.23,2.43,2.16,1.08,0.54,1.08,1.62,2.16,1.35,1.08,0.81,1.62,1.35,3.77,3.77,4.04,4.04,4.04,4.31,4.31,3.77,4.85,5.39,5.93,5.39,6.47,5.93,4.31,5.39,7.28,8.63,10.24,8.63,12.4,9.43,11.86,16.71,16.98,22.37,19.68,15.9
BK0693,基因测序,95.69,93.26,94.61,94.34,92.99,91.64,91.37,91.91,89.22,86.79,81.94,83.02,83.02,81.94,74.39,71.43,73.85,74.12,75.2,72.51,80.86,77.63,71.43,65.77,63.07,56.6,56.06,45.28,41.78,46.63,46.9,46.63,50.4,45.28,41.78,34.23,21.56,11.32,6.74,14.82,11.86,16.17,31.27,42.05,34.5,21.02,14.56,12.67,10.24,9.7,9.43,9.43,10.24,9.97,8.63,10.78,7.28,9.7,6.47,6.47,7.28,7.55,7.82,5.93,6.47,5.93,5.93,7.28,6.47,7.55,6.47,5.12,4.31,4.31,5.12,4.85,7.28,7.28,6.47,7.28,5.12,7.01,6.74,13.21,8.09,9.97,14.29,19.14,14.02,7.01
BK0664,婴童概念,95.42,94.07,94.34,91.64,94.07,93.8,92.18,90.84,84.37,84.64,81.13,81.67,83.83,83.83,76.28,66.31,69.27,69.27,69.54,64.42,71.16,65.23,58.76,48.79,42.32,27.49,29.38,29.38,24.53,20.49,10.51,11.32,12.67,8.89,8.63,8.09,7.28,4.04,3.23,6.2,8.09,7.82,8.36,7.55,9.16,7.82,7.01,7.28,8.63,7.01,6.47,7.01,8.09,9.16,5.39,7.01,4.85,6.74,5.12,4.04,5.12,4.85,5.93,5.66,5.12,4.85,4.58,5.66,5.39,6.74,7.01,6.2,5.66,6.47,6.2,7.28,5.66,7.01,5.66,7.82,4.85,4.31,4.85,4.85,5.93,10.24,13.21,19.68,16.44,8.09
BK0913,消毒剂,95.15,94.34,94.88,93.53,94.61,94.07,92.72,86.25,85.71,83.02,72.24,71.7,70.35,77.09,77.9,80.05,82.21,84.1,84.1,82.75,85.18,82.21,80.05,80.86,78.98,73.32,74.93,75.47,77.09,80.59,84.91,87.06,84.37,82.48,83.83,83.56,80.05,77.9,68.46,71.16,64.69,64.15,62.53,61.46,62.53,58.76,60.11,63.34,64.42,64.42,65.77,70.08,73.32,71.97,72.24,69.0,68.73,65.77,66.85,69.27,68.73,69.81,70.35,73.58,72.51,74.93,76.01,76.55,83.02,85.18,86.25,86.52,87.6,88.14,87.87,89.49,88.68,87.87,87.33,86.52,84.91,85.18,83.56,82.48,83.29,85.44,87.33,86.25,84.64,74.66
BK0675,病毒防治,94.88,92.99,93.8,93.26,93.26,92.45,91.91,91.11,89.49,88.68,82.48,77.09,78.44,79.78,77.36,76.28,79.51,80.86,80.32,78.44,87.33,85.18,79.78,75.74,68.46,60.92,58.22,51.75,51.75,55.26,55.26,53.37,54.72,46.36,42.86,32.08,19.14,10.51,9.7,19.68,13.48,19.95,31.81,43.13,38.54,33.15,16.98,15.9,13.21,11.32,11.86,12.13,12.67,14.02,11.59,12.13,10.51,13.21,10.78,11.32,9.7,12.13,9.43,8.63,8.63,8.89,9.97,12.94,11.32,9.7,10.78,9.7,8.89,9.16,8.63,7.82,10.24,8.89,8.36,9.43,6.74,8.09,8.89,12.94,9.43,11.86,12.13,13.21,11.05,5.12
BK0966,碳交易,94.61,95.15,91.37,92.45,88.68,79.51,47.98,63.61,29.65,39.35,34.5,30.19,18.33,22.1,16.17,28.03,24.53,20.22,25.34,21.56,25.61,33.42,26.15,26.15,33.42,38.01,35.31,40.16,57.95,66.31,67.39,65.23,53.91,61.99,64.69,63.07,64.15,67.92,63.88,59.84,59.84,56.6,58.49,56.06,52.83,54.99,57.68,54.18,54.99,57.95,51.21,50.13,48.25,47.17,48.52,42.86,42.86,44.47,44.2,52.02,48.79,48.25,52.02,61.99,61.99,68.73,71.97,66.04,72.24,76.55,77.36,77.63,79.51,76.28,76.55,75.2,78.44,83.02,84.64,84.91,85.98,86.79,88.14,86.79,87.33,84.91,84.1,81.94,69.0,64.69
BK0690,氟化工,94.34,95.69,96.77,97.57,96.77,97.04,97.3,97.04,97.3,96.5,94.88,95.69,95.15,97.3,96.5,96.23,96.77,96.5,97.57,97.57,97.3,98.92,99.19,99.19,99.19,99.19,99.19,99.19,99.19,99.19,99.46,99.73,99.73,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.19,99.19,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.19,99.19,99.19,99.46,99.46,99.19,99.19,98.92,98.92,98.92,98.92,98.92,98.92,98.65,99.46,99.46,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.46,99.19,99.19,98.92,98.65,98.92
BK0440,工艺商品,94.07,85.71,84.1,86.52,85.44,87.33,69.81,52.02,49.33,61.73,53.1,51.75,57.14,53.64,44.2,38.27,38.01,41.24,43.67,40.16,59.03,64.96,70.08,52.29,59.03,51.75,39.35,47.71,33.69,26.15,9.16,9.16,22.64,19.14,22.91,30.19,36.39,30.46,18.6,24.53,31.54,21.29,18.87,12.4,12.13,13.75,9.43,9.43,25.61,12.4,6.74,3.77,8.89,7.28,5.66,8.89,6.2,4.31,5.93,8.09,16.44,21.83,23.18,18.06,17.52,14.02,17.52,19.68,20.22,20.22,17.79,9.97,12.94,14.82,25.07,31.54,33.69,38.81,34.23,33.42,12.67,12.13,3.77,8.36,10.78,16.17,25.34,16.71,19.14,11.86
BK0615,中药,93.8,92.72,93.53,90.03,89.22,88.68,86.25,82.21,72.78,75.47,69.54,64.96,69.54,71.16,67.92,67.65,71.43,74.66,76.55,80.59,91.64,92.72,88.41,85.98,81.13,72.24,67.12,64.96,66.04,72.24,71.43,77.09,80.05,72.51,70.62,61.46,53.37,42.86,36.66,46.9,34.77,42.05,48.52,52.56,48.52,45.82,29.92,31.54,33.42,27.22,25.88,25.34,28.3,28.3,21.56,19.41,20.22,19.95,19.68,19.41,18.06,17.52,16.44,17.25,18.06,19.14,23.99,31.81,32.61,31.0,32.88,34.23,33.96,31.81,31.27,34.77,35.04,27.76,24.26,20.75,7.82,8.36,10.24,17.25,21.29,26.68,33.15,37.47,33.96,17.25
BK0668,医疗器械,93.53,92.45,92.99,91.91,92.18,91.11,91.11,89.76,87.06,86.52,82.21,82.21,86.52,87.6,84.64,84.1,84.91,87.6,87.33,85.44,89.49,86.25,84.1,79.25,78.17,71.97,70.35,63.88,63.34,66.58,63.34,55.8,57.41,52.29,50.4,38.54,26.15,21.02,18.33,25.61,22.1,34.23,42.59,48.79,45.55,42.05,32.88,33.96,29.38,29.38,27.22,26.68,29.38,22.91,21.02,21.56,18.6,20.75,16.17,15.63,15.63,16.44,13.21,12.67,11.59,11.05,11.59,15.63,14.02,15.63,11.59,9.16,7.28,7.82,7.01,6.74,8.63,7.55,5.93,7.01,5.93,7.55,6.2,10.24,5.12,6.47,7.28,8.36,6.74,4.58
BK0929,地塞米松,93.26,91.37,88.95,84.37,81.13,83.83,81.4,75.2,72.51,72.78,67.12,59.84,73.32,66.31,56.6,70.08,72.24,62.8,64.15,67.65,80.05,77.36,71.7,74.39,66.85,56.06,48.79,39.89,46.36,53.1,56.33,56.87,56.06,47.98,48.79,40.16,27.22,22.91,14.56,18.33,12.67,15.36,29.11,41.24,41.24,40.97,29.65,33.15,37.74,32.08,31.81,29.11,36.12,34.77,30.46,29.38,26.42,30.19,29.65,22.91,18.33,21.02,17.52,16.44,20.75,24.53,29.38,36.39,36.12,38.27,44.47,47.71,38.27,42.05,42.32,44.2,46.36,46.63,41.24,46.9,45.01,43.4,46.9,50.13,60.11,65.77,70.08,73.32,63.07,42.32
BK0841,体外诊断,92.99,90.03,91.64,92.72,91.91,90.57,89.49,91.64,90.57,88.41,84.37,79.78,85.18,83.29,79.78,76.82,78.17,79.78,85.71,80.32,86.52,80.59,71.16,65.5,57.95,53.37,52.29,36.93,35.04,32.08,22.37,11.59,18.06,11.59,11.05,4.04,1.62,1.08,1.35,3.23,2.96,11.32,23.99,39.89,35.31,27.76,16.17,12.4,9.43,9.97,9.7,7.28,7.82,7.55,5.93,6.74,3.5,4.58,2.43,2.7,3.23,3.23,2.96,1.89,1.35,1.35,1.62,1.08,1.35,1.08,1.08,0.81,1.08,0.81,1.08,0.54,0.54,0.81,0.81,0.54,0.54,0.81,0.81,0.81,0.54,0.54,0.54,0.54,0.81,0.54
BK0465,医药制造,92.72,91.11,91.91,90.3,89.49,88.95,85.98,84.1,77.36,74.93,67.39,63.07,69.0,68.73,65.5,62.53,67.39,70.62,69.27,69.81,85.44,81.94,76.55,69.27,62.53,54.72,54.45,50.13,49.87,58.22,59.03,60.11,61.99,55.26,52.56,42.32,30.46,21.83,16.44,23.72,15.9,20.22,32.35,38.81,36.66,33.96,15.9,16.17,13.75,11.59,12.4,11.86,12.94,14.29,13.21,14.02,12.67,12.94,11.59,11.86,9.97,10.51,9.16,8.36,8.89,8.09,10.51,15.36,14.29,15.9,16.17,14.56,12.13,12.94,13.75,14.29,18.33,16.17,12.67,13.48,7.28,9.7,11.59,17.52,18.6,22.64,27.49,30.46,23.99,9.7
BK0806,精准医疗,92.45,89.76,92.72,94.07,93.8,92.99,92.45,93.53,91.37,88.14,83.02,81.13,79.25,77.63,75.74,76.55,77.09,79.51,79.51,74.66,81.4,74.66,68.19,60.11,57.14,50.4,53.37,42.86,43.4,38.81,33.69,28.3,28.57,27.76,27.49,18.6,7.55,4.58,3.5,6.47,3.77,10.24,18.06,32.88,26.95,14.82,8.89,7.55,5.66,5.66,5.12,5.39,5.12,4.04,4.04,4.58,3.23,3.77,2.7,2.43,2.7,3.77,3.5,2.43,2.7,2.7,2.7,3.23,3.5,3.5,3.5,3.23,3.23,3.5,3.5,2.96,3.77,3.77,2.96,3.5,3.23,3.5,2.96,5.66,3.5,4.04,4.85,3.23,2.96,2.7
BK0519,稀缺资源,92.18,95.42,95.15,93.8,93.53,91.37,89.22,87.6,86.79,85.44,86.52,87.33,77.63,90.03,92.18,90.57,91.91,85.44,83.02,85.98,85.71,90.03,92.45,93.26,91.11,91.11,94.07,95.15,95.69,94.61,95.69,96.23,96.23,95.69,95.69,95.96,96.23,95.96,95.15,94.34,93.8,92.72,84.37,65.23,79.51,76.01,86.79,89.49,85.98,85.98,90.03,94.88,91.37,93.53,92.45,91.37,92.72,92.45,93.53,93.26,95.42,95.42,96.5,96.77,96.77,96.77,96.77,96.5,97.3,97.84,98.38,98.11,98.92,98.65,98.38,98.65,98.65,98.92,99.19,99.19,98.65,98.65,98.38,97.3,97.84,98.65,97.57,97.3,97.3,98.11
BK0719,健康中国,91.91,90.3,90.57,89.22,90.03,89.22,85.71,85.18,80.05,82.48,79.51,77.36,78.71,81.67,82.21,82.21,83.29,83.29,83.56,81.67,87.87,84.37,78.98,77.36,72.78,63.34,59.3,54.99,57.14,61.46,62.8,63.07,66.04,59.3,57.41,46.09,35.31,29.92,22.64,29.38,28.3,32.61,35.85,37.47,33.15,29.11,19.41,22.37,24.26,18.33,16.44,17.25,23.72,18.06,16.71,15.9,14.56,13.48,12.94,12.4,12.67,12.67,11.86,10.24,10.78,10.24,14.82,16.44,20.49,18.33,16.98,15.36,15.36,13.75,12.67,11.32,12.13,11.59,9.7,11.05,8.36,9.97,11.05,12.13,12.13,14.02,15.9,22.64,17.25,9.97
BK0653,养老概念,91.64,90.84,90.03,85.44,87.87,87.87,82.21,79.25,76.55,77.9,75.74,72.51,74.12,70.89,69.27,67.39,75.2,70.89,75.74,71.16,73.32,71.43,66.31,64.69,61.99,54.45,50.4,43.67,39.89,39.08,35.85,38.27,44.2,36.12,31.81,25.61,22.1,14.29,12.94,13.48,14.29,14.82,22.1,14.02,8.63,8.36,8.63,10.51,11.32,13.48,12.67,12.67,11.86,10.78,11.05,9.97,10.24,9.97,8.63,8.36,8.36,8.63,8.36,9.16,9.43,9.97,11.86,12.4,11.05,12.4,10.24,8.89,10.24,8.89,8.89,8.89,7.55,8.36,9.97,9.7,9.43,11.86,15.36,15.63,15.9,19.95,23.45,26.68,25.34,19.95
BK0574,锂电池,91.37,92.18,95.42,95.69,95.42,94.88,94.88,94.88,95.15,92.99,92.18,94.07,93.8,95.42,95.42,95.96,95.42,95.69,95.96,95.96,96.5,97.84,98.38,98.11,98.92,98.92,98.92,98.92,98.92,98.92,98.92,98.92,98.92,98.92,98.92,98.92,98.92,98.92,99.19,99.19,98.92,98.92,98.92,98.92,99.19,99.46,99.46,99.19,99.19,99.19,99.19,99.19,99.19,98.92,98.38,98.11,97.84,97.84,97.84,97.84,97.84,97.84,97.84,97.57,97.84,97.84,97.3,97.84,97.57,97.04,96.5,95.96,95.96,95.96,96.5,95.15,96.23,95.15,94.34,94.34,94.61,92.18,91.11,91.64,90.57,89.49,88.14,87.87,87.6,90.84
BK0479,钢铁行业,91.11,96.77,95.96,83.29,88.41,84.64,78.98,83.02,83.83,87.33,75.47,74.12,79.51,88.68,90.3,91.91,93.26,90.3,85.98,87.87,83.56,88.14,87.33,71.97,67.12,57.41,49.33,54.72,52.56,52.83,77.09,86.25,77.9,76.01,71.43,74.66,79.51,78.44,72.78,74.93,72.51,66.31,38.54,9.7,32.88,29.92,48.25,53.64,48.52,52.56,60.11,72.51,68.73,76.55,76.55,76.28,79.78,73.58,80.32,80.05,87.33,87.06,88.95,94.07,94.07,93.53,92.45,90.03,92.72,92.99,95.42,94.88,95.15,94.34,94.34,94.61,92.99,93.8,94.07,92.18,89.49,89.22,87.33,88.68,86.52,87.87,84.91,84.1,82.48,84.1
BK0427,公用事业,90.84,89.49,86.25,80.59,81.4,81.4,56.6,55.26,45.01,48.52,41.51,32.88,25.07,16.17,11.59,14.82,5.39,2.16,1.35,0.81,1.08,1.08,1.08,1.08,1.08,2.43,2.7,3.5,5.39,11.05,7.82,12.94,9.43,9.7,9.97,14.29,15.9,22.37,21.02,16.17,17.25,14.56,10.24,11.86,9.43,14.02,19.68,21.83,26.15,28.03,26.15,33.96,35.85,41.78,50.13,42.59,39.08,40.7,54.72,57.95,54.45,53.64,53.37,58.76,54.18,61.19,65.23,64.96,69.54,73.85,81.13,78.17,81.67,77.63,78.44,83.29,84.91,86.79,87.06,90.03,90.57,92.72,93.53,92.99,95.69,95.15,96.77,94.61,92.45,90.03
BK0436,纺织服装,90.57,91.64,87.33,77.9,84.64,87.06,80.86,77.36,68.73,68.19,54.99,56.6,61.19,65.23,60.38,52.29,45.55,47.98,63.07,53.64,64.69,63.34,63.07,55.53,57.41,54.99,52.56,51.21,49.33,52.56,47.44,51.21,50.94,42.86,43.13,39.89,38.54,34.23,34.5,31.27,36.12,31.54,26.15,26.95,27.76,21.29,22.64,28.57,33.69,33.42,33.42,33.69,33.42,35.58,35.04,36.39,35.85,35.58,36.12,31.54,25.07,22.64,22.1,24.26,21.83,22.64,25.34,28.57,32.35,33.42,34.23,31.54,35.04,28.3,28.3,27.22,21.56,21.56,15.63,18.06,10.78,9.43,7.28,7.55,9.7,15.36,17.25,19.41,21.29,15.09
BK0492,煤化工,90.3,93.8,92.45,91.37,90.3,92.18,88.95,88.14,85.44,88.95,85.44,84.37,75.74,89.49,89.22,90.03,92.18,84.64,85.18,81.13,79.78,84.64,84.64,84.91,82.48,78.17,81.94,83.29,88.14,89.22,90.57,93.53,92.72,92.18,90.03,90.03,91.11,90.57,87.87,88.68,85.44,81.13,72.51,63.07,70.35,67.12,75.2,78.98,77.09,79.51,81.13,86.52,87.06,88.95,89.22,84.91,85.44,85.71,89.49,91.11,91.11,91.11,92.72,92.99,93.53,93.8,93.8,92.72,94.07,95.15,95.15,95.15,96.23,95.42,95.69,97.04,96.77,97.84,97.57,97.57,96.5,98.11,96.77,96.23,97.3,98.38,98.65,98.38,96.5,97.04
