,NAME,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-02-07,2022-02-08,2022-02-09,2022-02-10
BK0914,医废处理,71.46,86.09,72.18,80.34,82.01,92.33,94.0,93.53,90.41,78.66,16.55,23.74,28.54,20.62,47.24,32.37,6.0,5.04,7.91,12.95,35.97,58.99,66.67,77.7,66.91,52.76,65.95,72.42,74.1,83.45,92.57,90.65,75.06,66.91,32.37,30.7,38.85,72.18,71.46,73.86,93.76,95.68,96.16,95.68,96.4,37.17,37.41,35.01,29.26,82.01,80.58,84.17,71.46,89.45,63.55,94.24,86.57,81.29,83.93,56.12,14.39,23.02,5.76,3.36,3.36,4.32,2.16,5.52,28.78,50.36,44.36,14.15,12.23,26.62,25.42,8.39,17.03,6.24,5.04,5.52,10.55,9.59,57.79,82.97,73.62,90.17,92.57,51.32,52.52,53.0,54.44,59.95,40.77,52.76,71.7,54.44,94.0,93.05,94.0,94.96,88.49,57.07,34.29,42.93,16.79,19.18,8.15,19.42,50.84,65.95,83.45,83.21,76.74,64.27,45.32,16.31,9.35,11.51,7.91,37.41,29.02,65.47,64.27,82.73,83.69,83.21,63.55,61.63,18.94,4.32,5.04,7.91,15.35,26.38,20.14,35.25,56.59,47.96,52.52,71.22,78.9,84.41,88.01,84.89,84.89
BK0912,远程办公,71.22,44.36,51.8,44.36,58.75,52.76,53.48,47.24,79.38,42.93,35.49,53.24,60.43,26.38,12.47,17.27,3.36,3.12,11.75,45.08,41.97,52.52,50.6,42.69,62.83,39.09,38.85,51.56,45.32,21.82,20.86,28.78,32.61,52.76,77.94,55.64,28.3,9.35,5.28,3.6,12.71,36.21,28.54,28.3,35.49,27.58,43.88,52.76,66.43,44.36,76.98,34.77,59.95,51.56,53.96,54.44,70.74,73.62,64.51,82.01,74.1,91.61,93.29,94.72,87.53,88.73,86.57,64.51,43.17,44.12,42.93,9.59,10.79,10.55,6.95,16.31,15.35,38.13,48.44,90.41,82.97,93.29,94.0,93.29,81.77,89.93,76.74,90.65,88.01,76.26,18.23,10.79,11.03,16.07,18.71,45.32,35.73,13.19,16.55,11.03,6.47,3.6,14.15,22.3,12.71,54.44,67.39,92.33,95.2,95.92,93.53,95.68,71.7,57.31,44.6,31.65,17.51,16.31,30.22,13.67,36.21,33.57,73.86,76.5,78.9,56.12,60.19,39.33,7.19,27.58,41.73,84.41,92.09,92.57,90.65,89.21,68.82,34.29,23.26,14.87,9.59,6.24,9.11,9.59,24.7
BK0859,超清视频,70.98,36.21,63.07,61.15,57.31,51.8,54.68,22.54,51.8,43.65,81.06,79.14,87.05,84.89,76.02,71.7,72.42,67.15,57.07,54.44,30.46,46.52,41.01,36.45,26.86,40.77,27.1,24.7,24.22,38.37,26.38,19.18,17.99,44.84,50.6,65.95,64.03,53.0,48.92,28.78,21.1,30.7,18.47,17.51,28.3,35.01,61.15,53.0,76.02,60.19,63.55,31.41,26.86,15.83,20.14,22.54,35.49,53.96,55.88,63.55,66.67,65.71,72.18,61.87,65.47,55.64,64.03,53.48,48.44,37.65,34.05,45.32,54.2,70.02,66.19,83.69,78.66,84.65,76.74,83.69,76.74,85.61,77.46,74.82,78.18,86.81,71.22,92.57,95.44,88.97,50.36,43.41,46.04,36.93,47.72,51.32,21.82,7.91,8.39,8.15,9.11,24.22,30.46,31.65,39.57,59.71,67.63,87.29,93.53,90.17,88.73,79.86,56.59,48.44,63.31,63.55,77.7,65.95,64.99,18.94,40.29,22.78,67.87,65.47,69.54,51.56,46.52,34.77,25.66,38.61,59.23,84.65,89.45,88.73,88.97,76.74,50.12,19.9,21.1,21.82,18.47,12.23,13.19,12.47,17.51
BK0457,电网设备,70.74,80.82,86.09,80.58,73.14,80.58,76.5,61.39,70.02,63.79,83.21,82.25,82.49,79.86,88.97,74.34,77.7,82.01,94.48,88.01,86.09,94.72,89.93,80.82,78.42,93.53,97.6,96.16,96.16,97.36,91.61,37.89,18.23,16.07,33.57,40.29,52.04,78.66,69.3,75.78,66.91,25.66,74.82,83.93,43.65,51.56,84.17,2.88,12.47,43.17,42.45,88.49,94.48,85.61,95.44,92.57,61.87,63.07,59.23,26.14,83.69,41.25,14.63,9.83,6.71,6.0,9.35,83.69,88.73,93.29,89.45,87.53,93.05,91.85,94.72,96.16,96.88,94.48,82.49,34.53,63.07,49.88,31.41,59.71,62.59,16.55,84.65,86.09,76.74,97.84,98.8,97.6,89.45,84.65,28.06,69.78,68.59,88.73,82.49,92.33,11.03,8.15,3.36,4.8,2.64,4.32,2.88,15.59,69.06,91.13,93.05,95.92,91.13,70.5,16.55,28.06,4.32,1.2,1.92,4.8,1.92,4.32,9.59,12.47,15.11,15.83,12.95,23.5,75.54,73.38,80.58,68.59,71.46,27.58,8.39,21.58,38.85,17.51,48.92,67.63,69.06,61.63,67.39,30.22,28.06
BK0801,增强现实,70.5,44.6,67.39,61.87,48.2,63.55,61.63,37.65,27.1,23.26,14.39,25.18,47.24,32.37,28.78,40.29,20.62,36.45,59.95,73.14,49.64,72.18,67.15,46.52,29.5,59.71,36.21,50.84,27.82,30.94,9.11,22.06,12.71,29.5,72.18,62.59,59.47,57.79,75.78,77.7,70.02,76.5,76.02,60.43,49.4,86.57,95.92,86.81,80.34,62.59,56.59,1.68,20.62,33.57,23.02,12.95,24.7,29.26,15.11,27.1,24.46,21.58,37.89,41.73,41.25,37.17,38.37,33.33,46.52,33.09,29.98,35.73,22.54,23.74,18.71,26.14,28.54,68.35,59.23,83.93,93.29,97.84,98.32,98.56,98.8,98.56,87.77,88.01,95.92,89.21,48.68,73.14,74.34,65.47,88.73,89.21,59.23,17.75,7.67,6.0,7.91,14.87,18.47,23.74,25.9,50.12,75.06,94.72,96.64,94.24,95.2,91.37,59.47,50.36,83.69,66.43,56.59,63.55,53.48,9.35,55.64,39.57,81.06,83.21,66.43,22.06,25.9,6.47,1.68,5.76,58.03,86.33,89.69,90.41,79.14,52.28,17.99,12.95,12.23,19.66,14.15,11.03,6.71,5.52,9.59
BK0592,铁路基建,70.26,76.5,56.12,58.03,54.92,45.8,37.41,37.89,34.53,41.01,46.52,56.59,67.87,65.71,66.43,63.07,69.78,61.87,66.19,72.66,66.91,68.11,73.14,72.18,70.26,78.42,83.69,83.45,85.61,85.61,82.73,70.26,64.03,55.16,73.86,62.11,60.91,80.34,86.09,81.06,83.93,91.61,92.09,88.01,87.29,76.5,28.3,24.7,14.39,35.49,23.98,57.31,42.93,46.76,53.48,51.8,20.86,14.15,16.79,14.15,17.51,26.86,41.97,31.41,28.78,25.66,32.61,70.26,70.5,72.66,69.54,57.07,44.12,48.44,42.21,38.85,41.73,50.6,42.45,45.8,51.08,50.36,46.52,57.79,58.27,58.03,73.14,60.91,53.96,66.43,71.94,65.47,64.75,63.55,41.97,36.93,43.88,58.75,59.71,65.71,80.1,69.3,50.36,56.12,53.48,29.74,30.94,44.12,36.21,57.07,66.19,69.06,54.2,65.71,48.92,54.44,43.65,51.32,37.41,53.72,42.45,46.52,46.76,44.12,53.72,61.15,60.67,66.43,70.74,63.79,58.99,59.71,73.14,84.89,82.73,79.38,76.98,76.5,70.74,68.82,75.06,83.21,82.01,76.98,78.42
BK0800,人工智能,70.02,27.82,59.95,45.08,59.95,60.67,55.64,20.62,30.7,13.91,17.99,51.56,65.95,58.99,47.0,57.31,31.41,42.93,57.79,71.22,62.35,70.74,61.15,39.09,17.51,32.13,26.86,41.01,24.46,31.65,21.1,29.26,22.78,50.12,64.99,68.11,58.51,39.81,34.77,26.62,15.83,22.78,19.18,26.14,35.25,41.49,39.33,51.08,54.44,38.61,51.08,42.69,54.68,32.37,31.41,23.5,39.57,43.65,42.21,60.67,55.16,58.03,63.07,53.72,54.68,54.2,55.16,38.37,49.16,47.24,39.09,31.65,41.01,34.77,13.91,34.29,26.38,39.33,47.0,69.06,54.44,71.94,70.98,78.66,69.06,78.66,52.04,67.87,61.39,70.02,46.76,41.97,39.33,43.41,27.1,45.56,46.76,31.41,56.12,59.95,53.96,64.51,63.79,52.52,51.56,56.12,40.77,65.95,69.78,73.38,72.9,71.22,48.92,51.08,40.77,25.66,33.33,32.85,47.24,38.61,66.43,61.63,79.62,66.43,60.19,45.56,49.88,29.02,16.79,37.41,49.4,81.29,90.41,90.89,92.57,89.69,75.78,66.19,38.37,20.38,12.47,10.55,14.63,24.7,53.48
BK0833,小米概念,69.78,58.51,73.14,66.43,56.83,42.45,34.53,9.59,13.43,15.35,48.92,57.79,74.58,70.5,72.42,68.59,71.46,76.74,84.89,65.71,31.41,44.84,26.62,19.42,16.79,47.96,30.22,33.81,25.9,28.54,23.02,22.78,15.11,23.5,35.49,54.68,50.6,43.88,29.98,10.79,12.23,14.39,14.39,18.23,29.98,30.46,48.92,40.05,52.28,32.61,36.21,16.31,27.82,17.75,18.71,11.03,19.66,28.78,27.58,46.76,48.68,49.4,54.2,47.72,56.83,57.55,51.8,30.94,56.12,32.13,36.69,52.04,71.7,78.9,73.86,80.58,74.82,89.69,80.34,84.41,80.34,88.25,79.14,69.06,82.73,85.37,68.82,75.3,82.01,66.91,32.13,44.36,56.59,57.79,71.46,83.45,66.19,63.31,45.08,40.53,38.85,44.84,34.05,35.73,39.81,54.2,57.07,74.34,86.09,72.42,55.4,44.36,23.26,26.86,48.2,47.0,58.51,69.54,66.67,27.34,56.59,55.16,61.39,42.69,45.8,30.46,31.65,25.18,31.65,32.13,44.84,62.83,65.95,72.9,58.03,47.96,23.5,21.82,25.9,37.89,34.29,30.22,32.13,20.38,18.47
BK0644,特斯拉,69.54,82.49,88.97,90.17,92.81,92.09,81.53,57.31,20.62,14.15,28.06,74.82,78.66,83.45,79.86,71.22,70.02,78.18,86.33,88.73,82.25,92.57,88.49,89.93,80.34,83.21,69.54,63.31,42.45,29.98,19.42,6.95,8.15,5.28,51.32,75.78,76.5,63.79,60.91,39.33,33.33,10.79,23.5,12.47,12.23,26.38,62.59,32.61,67.63,64.75,57.31,77.46,69.3,52.76,49.16,16.07,12.95,16.55,11.51,17.51,30.7,23.5,44.12,43.65,73.38,74.1,88.49,92.33,89.45,83.21,74.34,59.71,66.67,84.17,80.1,85.85,92.81,93.76,87.77,74.58,84.41,80.82,86.57,76.74,87.77,74.82,90.41,77.7,78.42,88.49,88.97,70.74,81.29,77.7,69.06,56.35,68.11,84.17,82.97,81.53,93.29,84.41,23.26,11.75,24.46,6.24,19.18,23.02,66.43,30.7,40.29,12.95,11.51,15.35,19.42,47.96,47.0,52.04,56.83,44.12,13.19,25.9,19.66,11.03,15.83,16.31,18.23,23.98,64.03,38.37,81.77,81.77,84.65,67.15,48.44,27.34,27.58,23.5,59.23,70.98,65.23,42.45,25.18,11.99,9.11
BK0700,充电桩,69.3,78.9,82.49,79.14,78.66,82.49,74.1,60.67,60.67,37.89,52.52,76.74,81.53,81.53,85.85,70.26,66.43,77.7,91.13,90.17,88.49,96.16,91.13,85.37,71.46,86.09,94.0,92.57,91.85,91.61,63.79,10.07,7.91,6.95,18.94,45.56,56.59,68.11,53.0,53.72,44.36,19.66,34.29,47.0,28.06,32.37,64.27,16.55,21.34,47.24,43.65,77.22,69.54,56.12,84.41,79.86,41.25,62.59,66.91,46.28,82.73,76.98,47.48,21.58,16.31,13.19,22.3,88.97,92.57,93.76,91.37,90.17,93.29,92.09,90.41,91.85,95.68,93.05,83.21,64.75,77.46,53.48,36.45,53.48,47.72,22.06,70.74,63.07,51.8,91.13,94.0,83.45,84.65,79.86,53.0,74.58,75.78,82.73,83.45,85.37,47.24,56.83,23.02,18.47,31.41,18.71,12.95,19.66,51.32,67.15,75.06,79.38,51.8,54.68,19.66,41.49,7.67,9.35,11.27,10.79,4.08,9.59,8.63,9.59,17.03,16.55,12.47,17.51,38.13,21.82,45.8,57.79,76.02,70.02,47.96,55.64,64.27,41.97,58.03,65.71,57.07,39.33,42.93,24.94,25.42
BK0921,天基互联,69.06,37.17,85.61,85.61,78.9,47.72,28.06,5.76,51.32,25.9,43.41,71.46,86.33,80.82,76.26,90.41,82.49,83.21,74.58,91.61,50.6,71.22,75.3,79.86,7.43,74.1,68.11,25.9,26.38,29.26,4.56,5.52,13.19,17.75,85.61,82.73,72.18,59.71,21.1,34.29,34.53,50.6,34.53,45.08,19.18,22.78,10.31,17.99,15.59,10.31,7.43,17.75,8.63,31.65,22.06,37.89,25.9,50.6,31.89,40.29,22.54,35.25,52.28,51.56,72.18,82.97,90.65,87.29,76.74,67.87,61.39,52.52,20.38,34.53,34.53,12.47,7.91,26.14,77.46,68.11,85.13,87.77,85.13,70.74,86.33,83.69,96.64,96.88,62.35,67.63,79.62,39.81,63.55,67.87,52.04,25.18,20.62,13.43,36.93,26.38,10.79,11.27,16.31,4.08,21.1,41.97,13.67,13.19,58.99,16.79,54.92,48.68,31.41,34.05,34.77,16.79,34.29,64.51,78.9,85.61,83.45,75.78,69.06,47.0,22.3,13.43,17.99,11.03,5.76,14.87,40.53,67.63,86.81,80.1,67.39,48.44,23.02,10.79,36.93,35.01,51.8,31.41,40.29,42.45,48.92
BK0920,车联网,68.82,35.25,52.52,49.88,63.31,68.35,60.91,46.04,53.24,13.43,10.79,49.88,52.52,47.24,36.45,53.96,29.5,45.08,51.8,73.86,59.95,68.82,75.54,78.18,50.84,52.04,39.33,53.72,25.66,26.86,16.31,24.7,16.55,31.89,39.57,50.12,49.16,29.5,30.94,28.06,24.46,28.54,27.34,26.86,30.94,28.78,27.82,42.69,31.18,30.7,44.84,37.89,24.46,29.5,26.14,16.79,39.33,52.52,49.64,71.46,68.11,74.58,84.41,82.97,84.89,87.53,89.21,77.22,63.31,53.72,44.6,22.78,25.66,39.57,30.7,35.49,46.52,63.07,60.91,64.27,70.98,74.1,76.98,66.19,67.39,67.15,50.84,58.75,62.83,63.07,46.28,46.04,65.71,60.91,60.91,74.1,60.91,48.92,75.3,83.69,92.33,98.08,96.16,77.94,82.73,74.1,44.12,50.84,64.27,49.88,55.16,55.88,40.77,55.88,63.79,62.35,52.28,40.29,21.58,17.75,17.51,14.15,36.45,33.33,28.78,22.54,27.1,20.62,17.03,33.57,66.43,81.53,88.73,88.01,85.13,81.77,67.63,47.72,43.65,34.53,20.38,14.63,18.47,15.35,30.46
BK0554,物联网,68.59,30.94,61.87,49.64,62.35,57.07,57.31,23.5,46.76,17.99,34.77,65.47,72.66,66.43,54.92,64.99,47.48,63.79,73.14,79.38,60.67,69.78,55.88,40.53,28.06,44.12,40.53,57.55,29.5,41.49,23.98,25.9,19.66,38.37,45.56,63.79,48.2,35.97,26.62,19.42,17.99,31.41,26.86,43.65,41.97,43.17,33.81,40.29,25.66,18.23,27.82,32.13,27.1,23.98,48.44,42.21,50.12,60.91,68.35,67.63,70.98,78.18,76.98,64.27,72.42,64.27,69.06,66.67,63.07,55.88,48.44,38.13,39.81,43.17,30.22,40.29,35.49,54.44,61.15,69.78,64.99,76.02,63.55,64.99,68.35,73.14,62.11,82.73,81.77,85.37,70.74,62.59,48.2,53.0,38.85,60.43,55.4,57.55,63.07,64.75,45.56,55.4,41.25,28.3,23.5,31.65,24.7,51.08,80.34,75.78,71.46,68.35,48.68,43.17,41.25,38.61,31.89,28.54,44.36,34.05,49.4,55.64,64.03,46.28,49.4,32.61,34.29,29.26,29.02,37.17,57.31,82.01,86.33,88.25,86.57,85.85,68.59,62.83,46.76,32.61,24.22,15.83,22.3,34.53,52.52
BK0890,MLCC,68.35,84.17,95.2,95.44,98.32,98.32,98.56,94.0,98.08,54.2,94.96,89.93,70.98,65.95,89.21,37.17,14.15,74.82,33.57,20.14,32.13,57.79,34.05,74.34,11.03,87.29,78.9,36.93,15.35,21.34,3.12,13.43,28.06,67.87,94.72,84.17,55.88,32.85,7.91,19.18,44.84,17.75,10.79,7.67,9.11,3.12,7.43,2.16,21.82,0.24,3.6,5.28,1.44,7.91,50.12,7.67,46.76,87.77,79.38,87.29,88.97,57.55,43.17,27.34,47.48,58.03,97.36,90.89,94.24,88.73,86.33,84.17,66.91,65.23,82.25,91.37,72.9,93.53,97.36,63.31,56.12,69.78,73.62,63.55,75.54,86.09,98.08,83.69,15.11,16.79,15.83,6.24,67.39,68.82,49.64,42.45,7.19,25.18,76.02,65.95,66.67,91.85,58.27,20.38,56.83,77.22,86.33,76.26,90.65,79.62,38.61,5.28,4.56,1.92,1.2,4.8,40.53,76.02,88.49,92.57,80.58,66.91,2.88,0.96,0.72,0.24,0.72,3.12,32.85,27.1,74.58,80.34,81.77,35.25,55.88,45.08,55.16,82.49,92.81,96.4,95.44,55.64,11.27,4.8,5.28
BK0549,深圳特区,68.11,54.68,62.83,63.07,68.35,73.38,75.78,50.12,32.37,29.02,33.33,48.92,67.39,68.11,65.23,59.47,58.03,63.55,68.11,73.62,72.42,70.5,60.67,44.84,31.65,43.88,45.32,52.28,50.12,59.71,41.49,32.61,27.1,30.46,24.46,41.97,40.77,41.97,39.81,26.86,23.02,32.13,29.5,40.29,48.2,52.28,39.57,32.13,21.58,28.3,23.02,34.29,28.54,35.49,38.61,35.01,41.73,52.76,53.72,58.75,63.79,69.54,74.58,61.15,63.55,56.59,42.45,35.97,42.93,31.41,29.02,39.33,54.92,57.55,59.47,65.71,61.39,70.98,69.78,72.9,68.59,70.26,64.75,63.07,58.99,66.43,57.55,65.23,61.63,58.03,34.77,26.14,38.13,48.92,49.4,62.83,58.99,58.99,59.47,63.31,56.35,61.87,46.28,45.32,37.89,47.72,52.28,61.15,64.51,65.71,53.72,46.52,40.05,45.32,42.93,43.17,41.25,36.45,34.29,28.06,39.81,53.0,58.75,55.4,56.12,54.2,54.68,59.23,55.64,65.47,65.23,63.79,66.91,75.54,69.3,66.43,60.43,60.19,52.28,42.69,45.08,34.53,41.49,35.25,44.12
BK0629,北斗导航,67.87,31.41,77.94,75.06,62.59,52.28,47.96,11.27,61.39,62.11,85.85,87.53,85.37,75.3,74.1,74.58,55.88,73.62,63.31,61.87,27.34,64.75,81.53,88.01,61.63,85.13,82.73,46.52,57.31,73.38,48.2,53.72,71.94,72.42,90.17,77.46,47.48,35.73,6.0,10.07,19.9,31.89,18.23,31.65,32.37,22.3,13.91,28.3,22.54,11.27,13.43,21.82,7.67,15.35,25.9,29.26,29.98,38.85,47.24,43.41,37.65,44.6,80.34,54.2,67.63,71.7,80.1,77.46,72.18,78.9,71.94,81.06,69.78,67.87,52.52,50.6,37.17,46.52,81.29,77.7,80.1,75.3,74.34,51.56,64.99,66.67,84.41,84.65,57.55,61.87,76.98,30.22,49.16,67.15,61.63,50.36,53.0,59.23,72.66,74.58,65.47,88.49,78.66,37.89,59.47,65.95,38.37,25.18,70.74,43.65,58.27,57.55,50.36,37.89,48.68,46.76,45.56,44.36,55.88,73.14,67.87,61.39,45.56,35.49,20.86,19.18,21.1,24.22,26.86,20.38,33.33,59.95,72.66,69.78,62.35,60.43,35.73,38.85,47.0,50.84,61.39,39.09,32.61,33.33,36.45
BK0805,钛白粉,67.63,85.61,84.17,95.68,96.88,93.29,95.44,99.28,97.84,93.76,98.08,97.36,92.81,74.34,88.01,71.94,49.88,26.62,19.9,5.52,9.35,44.6,66.19,98.08,98.8,96.16,95.2,93.76,97.36,87.29,90.41,81.77,44.12,30.94,98.08,98.32,97.84,99.28,98.08,96.4,98.08,95.92,86.33,4.8,4.08,0.0,19.66,15.59,90.65,95.44,97.12,99.28,99.04,98.56,93.29,77.46,2.16,0.24,1.2,2.88,3.84,3.6,11.99,8.39,8.39,6.24,6.71,42.21,72.9,81.06,87.77,93.29,67.15,70.74,79.62,3.36,1.44,2.64,0.24,0.24,2.64,1.44,1.2,2.88,3.6,1.92,7.43,3.6,2.16,1.92,36.21,63.55,80.34,90.41,92.57,46.76,83.21,53.0,55.64,50.12,68.11,19.42,62.11,35.49,30.7,12.71,27.1,10.79,71.94,71.46,76.98,59.23,25.9,2.64,3.36,2.88,1.92,2.16,9.83,8.39,8.39,73.14,64.99,88.25,81.77,86.81,75.06,87.29,42.21,41.49,16.31,11.03,6.71,6.0,6.47,37.65,61.15,65.23,75.3,83.45,72.9,85.13,77.46,84.17,81.06
BK0994,空间站概念,67.39,32.37,83.93,85.85,84.65,75.78,65.95,34.29,91.13,88.49,93.05,98.32,96.88,90.89,76.74,85.85,24.94,25.18,15.35,41.73,9.83,52.28,80.58,85.85,85.85,90.41,92.33,77.46,84.65,79.38,36.93,67.63,78.9,93.53,96.64,93.05,80.1,76.98,29.02,20.38,40.05,32.85,17.99,48.44,40.29,40.77,66.43,81.29,47.48,35.25,27.1,23.26,26.14,57.07,61.15,60.91,71.94,27.34,28.54,18.71,13.19,6.0,11.51,16.31,44.36,78.18,91.37,94.0,91.13,88.25,85.37,85.13,42.93,52.04,32.13,6.95,12.95,31.41,62.59,48.92,76.98,57.07,51.8,48.2,82.49,88.01,97.36,98.32,78.66,79.86,91.37,71.22,58.03,81.06,82.25,33.33,60.67,75.78,81.06,54.92,32.85,46.52,30.22,11.51,35.25,39.57,17.27,13.43,63.07,32.61,82.97,61.87,58.99,36.45,50.36,24.7,76.02,76.74,84.65,91.85,93.76,96.16,92.57,71.94,51.56,18.47,8.87,8.15,38.85,21.58,72.66,85.37,87.29,57.07,57.79,31.18,22.06,18.23,54.92,36.21,39.33,21.34,15.83,21.82,35.97
BK0830,区块链,67.15,39.33,61.63,50.6,62.83,65.71,71.22,51.8,60.19,23.5,17.75,27.34,46.76,33.33,30.46,32.13,18.47,22.06,37.17,50.36,48.92,53.0,37.17,32.61,28.54,30.94,30.7,61.63,41.01,39.81,33.09,57.55,43.65,53.96,52.28,44.84,21.82,28.06,23.74,26.14,31.89,52.52,53.24,72.66,68.82,76.26,78.66,69.78,53.0,58.99,71.7,41.73,49.64,36.45,29.02,33.33,49.16,47.24,46.28,51.56,41.97,56.59,69.54,61.39,64.99,54.92,35.97,35.01,46.04,52.76,57.55,51.08,46.52,35.01,12.95,17.27,26.14,52.76,58.03,75.3,66.91,73.38,66.19,80.1,74.58,79.62,49.88,58.99,56.59,47.24,29.98,28.54,20.86,32.13,25.18,39.09,57.55,62.35,73.62,80.1,74.34,57.31,62.59,54.44,45.08,54.68,50.84,73.38,75.54,84.89,80.82,83.69,76.02,64.75,65.23,57.07,44.6,29.02,34.05,22.78,59.23,63.79,88.01,86.09,83.21,63.07,68.82,38.85,19.66,55.16,63.31,86.09,91.37,91.61,92.09,92.57,82.97,77.94,41.97,19.42,9.11,6.47,13.43,35.01,71.7
BK0667,国家安防,66.91,32.85,63.79,54.2,69.78,70.02,66.67,44.84,80.1,45.56,43.88,70.74,73.38,64.03,46.04,53.72,21.34,33.57,49.16,57.79,56.35,72.9,81.29,78.9,61.15,66.91,58.75,48.44,25.42,31.18,14.15,23.02,18.47,33.57,67.15,61.87,43.17,35.01,38.37,28.3,24.22,32.37,31.18,25.18,17.03,22.54,18.94,18.23,12.71,14.15,18.94,11.03,17.27,25.66,45.08,35.25,44.36,46.76,48.2,53.0,47.48,66.67,83.93,74.58,78.9,79.14,74.58,62.11,58.99,45.32,29.26,34.53,41.49,42.21,23.98,33.81,18.94,22.78,44.12,58.27,62.35,72.9,73.38,70.26,71.46,72.66,66.43,77.22,71.46,78.66,72.66,64.75,55.16,58.99,57.07,59.23,58.03,61.15,76.5,71.46,66.19,71.7,55.16,33.09,39.33,41.25,29.02,38.61,64.75,50.84,63.79,67.15,50.6,49.88,46.28,28.3,29.02,26.62,40.05,42.69,70.5,65.71,79.86,64.27,57.55,43.41,47.96,30.22,23.02,39.09,60.43,79.14,85.85,87.53,86.33,80.1,55.4,34.53,23.5,15.83,10.79,8.87,12.47,15.59,32.13
BK0567,股权激励,66.67,69.3,57.31,60.19,66.91,72.66,56.35,49.4,49.4,26.62,26.62,60.91,69.54,70.98,68.35,61.87,62.83,66.91,64.51,72.42,74.34,65.47,51.08,47.48,46.04,58.51,53.0,46.04,40.53,37.89,31.89,34.29,37.65,46.04,66.43,74.82,73.14,61.87,62.83,57.07,39.57,35.49,35.97,29.02,36.21,35.73,35.25,37.65,49.88,46.76,57.79,55.16,60.19,54.2,52.52,28.06,51.08,57.79,42.69,54.68,71.94,56.35,55.88,58.03,64.75,65.47,67.63,70.02,70.26,64.51,64.03,76.98,78.42,66.43,67.63,70.74,64.03,62.35,71.94,73.14,68.82,63.55,58.51,62.59,60.19,59.95,61.39,72.18,75.54,78.9,75.78,76.74,68.59,54.68,46.52,49.4,44.6,45.8,50.36,46.76,33.81,31.41,35.49,39.81,47.48,53.72,63.07,67.15,67.63,53.24,40.53,26.14,20.38,24.22,24.22,27.82,51.56,64.99,71.7,68.59,70.02,63.55,46.28,34.77,38.61,29.5,29.5,33.09,44.36,42.93,72.9,73.14,80.34,78.9,76.5,63.31,58.03,59.47,57.79,51.08,48.68,33.33,26.62,19.9,20.38
