,NAME,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22
BK0728,环保工程,99.73,99.19,99.46,99.46,99.46,99.19,98.38,98.65,97.57,97.3,97.3,96.23,93.26,96.77,98.11,98.38,99.46,98.65,97.84,91.64,7.82,90.03,61.19,14.56,0.27,0.81,0.0,1.35,1.08,5.39,42.59,1.62,7.55,20.22,15.9,2.43,7.28,7.82,3.5,1.35,1.08,1.62,5.93,9.43,10.78,11.05,18.33,12.13,21.29,70.89,61.19,63.07,85.71,74.12,63.34,79.51,52.83,74.12,67.39,6.74,21.56,21.29,16.98,39.08,20.22,14.29,25.34,21.83,14.56,44.74,34.77,30.73,17.25,14.29,23.72,40.16,40.97,52.83,50.4,20.75,22.37,26.42,23.18,21.56,23.45,18.6,23.18,29.92,67.12,53.37,75.47,86.79,76.82,72.24,65.5,42.05,37.47,30.19,8.89,41.51,18.6,12.4,17.52,24.26,42.05,31.0,28.03,29.38,35.31,19.95,30.19,52.56,56.6,57.41,71.43,81.4,83.02,76.28,61.73,49.87,55.8,53.37,56.33,46.63,22.37,64.69,49.06,67.12,74.12,75.2,58.22,59.03,69.54,61.99,87.06,23.99,49.33,31.27,54.72,71.97
BK0578,稀土永磁,99.46,98.92,98.92,98.11,78.98,35.85,76.55,97.3,94.61,73.58,53.1,16.44,2.43,28.84,27.49,7.01,3.23,1.89,2.16,1.08,3.23,1.62,2.43,0.54,1.35,46.63,73.05,77.09,22.64,21.29,7.82,41.78,35.04,71.16,77.36,46.09,35.85,27.49,58.76,61.73,64.69,52.83,63.07,69.0,74.93,91.64,78.98,75.74,52.56,63.34,68.19,77.9,87.87,31.81,17.52,2.43,15.36,19.95,52.29,63.61,81.67,68.73,63.07,88.41,86.25,84.37,76.55,61.46,59.03,44.47,13.75,8.63,12.4,16.17,20.22,28.84,51.21,63.07,70.62,74.93,91.11,92.18,82.48,97.3,98.38,98.11,98.65,98.11,98.92,98.11,98.11,97.04,98.65,95.69,91.91,94.34,92.45,94.88,90.84,94.34,92.72,96.23,93.53,96.23,95.69,89.49,92.45,77.09,91.11,80.59,91.91,93.26,86.52,71.97,58.76,91.11,61.73,70.62,26.68,70.62,75.2,69.27,71.7,83.02,94.61,94.88,87.6,87.6,71.16,47.17,55.53,38.01,26.68,21.83,23.99,16.17,78.71,26.15,32.35,39.89
BK0946,EDA概念,99.19,95.42,84.37,81.13,75.2,26.42,3.77,3.5,0.81,1.35,4.04,6.47,14.02,19.41,18.6,63.07,49.87,21.83,24.26,72.78,72.51,37.74,82.75,94.07,94.61,85.71,80.05,70.62,43.94,21.02,43.94,61.99,24.8,2.7,1.89,11.32,18.6,16.44,68.19,64.69,58.22,63.88,81.94,85.71,86.25,80.59,86.25,78.71,77.09,83.29,86.52,71.97,42.86,28.03,17.79,68.73,33.15,60.65,48.79,19.14,18.87,45.28,27.22,66.85,60.38,47.17,57.14,58.49,54.72,53.91,63.07,63.61,89.49,95.15,98.11,99.19,98.92,98.65,98.65,97.84,94.88,90.57,54.45,11.86,2.96,14.29,25.61,31.81,54.99,49.6,59.57,45.01,68.73,85.98,68.19,19.95,18.6,43.67,69.54,73.85,88.41,83.83,87.06,72.78,81.67,68.19,73.58,73.05,59.57,37.74,34.23,57.68,22.1,12.94,5.93,19.41,10.78,3.23,23.45,31.27,33.15,29.38,60.65,56.87,58.22,74.93,87.87,71.43,34.23,29.11,24.8,28.57,10.51,35.31,21.29,11.86,3.77,4.58,8.09,14.29
BK0966,碳交易,98.92,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.46,99.46,99.73,99.73,99.73,99.19,98.38,97.84,78.44,96.23,85.44,35.31,4.85,18.06,0.54,16.44,15.36,0.81,4.85,0.81,4.31,23.45,6.47,0.54,1.89,2.16,1.35,1.89,2.96,5.66,10.24,19.95,21.29,52.29,66.31,52.83,57.95,82.75,81.67,87.87,97.57,94.07,95.42,96.23,88.95,96.77,97.3,95.69,97.3,88.41,85.44,76.28,34.23,22.37,31.54,12.13,11.59,26.42,13.48,14.82,13.75,18.06,31.0,47.44,58.76,66.58,76.55,43.94,46.9,49.33,41.51,45.82,29.11,35.85,21.29,31.27,46.9,43.67,81.67,90.3,87.06,83.02,80.59,68.46,66.58,62.8,37.47,59.3,17.52,6.74,12.13,19.41,40.7,26.95,32.88,24.26,35.58,26.42,40.7,76.28,77.36,77.63,79.25,78.17,77.36,80.59,78.44,79.51,84.91,71.97,71.43,63.07,62.53,78.71,77.9,90.84,93.26,91.64,89.76,92.45,92.99,92.72,91.91,90.3,92.18,79.78,82.48,89.76
BK0834,乡村振兴,98.65,98.65,98.65,95.42,78.44,69.81,69.27,73.32,45.01,50.67,52.56,44.74,24.8,31.54,48.25,59.84,75.47,68.19,55.8,32.61,19.95,5.93,7.82,7.28,5.93,5.66,2.96,4.85,7.28,16.44,14.82,9.16,16.44,26.42,16.44,13.75,11.59,12.67,8.63,5.39,11.05,16.98,21.56,37.74,53.1,56.33,61.46,70.89,74.12,73.05,65.23,62.53,66.85,29.38,25.61,30.19,27.22,21.56,14.02,10.24,15.9,29.92,48.52,54.18,43.94,31.54,41.78,38.27,40.43,46.36,52.56,49.87,28.84,35.31,38.81,53.91,49.06,53.37,68.19,61.99,65.77,40.97,53.91,62.8,55.53,52.29,39.35,42.32,42.05,37.47,37.47,46.9,48.79,44.74,58.22,35.58,37.2,31.81,47.17,55.26,45.01,30.19,43.4,41.24,40.43,43.67,50.67,62.53,50.4,49.87,61.19,76.01,69.81,79.78,82.21,76.82,77.09,49.87,48.52,33.42,39.08,29.92,41.78,26.68,28.84,31.54,35.58,50.4,61.73,59.3,54.99,65.5,70.35,70.62,72.78,68.19,78.17,88.41,83.56,77.63
BK0907,转基因,98.38,93.8,39.08,10.51,1.35,2.43,0.81,0.81,0.0,0.27,0.27,0.54,0.81,0.54,5.39,23.99,19.68,19.14,10.51,24.26,37.2,1.35,3.77,3.5,1.62,0.27,1.35,0.0,0.27,4.85,1.08,2.16,1.08,2.43,1.62,3.5,3.77,38.81,40.43,5.93,10.24,5.39,38.81,70.08,74.39,73.32,69.54,83.29,71.7,70.62,91.91,92.18,75.74,20.75,19.14,10.24,6.74,1.08,3.23,2.16,0.81,8.63,39.62,15.36,35.31,27.76,49.06,38.81,23.18,39.89,49.33,31.81,5.12,5.66,0.27,4.58,2.96,4.31,6.2,8.63,5.93,2.96,16.71,47.98,92.45,94.88,93.26,94.34,94.07,90.03,90.84,94.07,90.3,87.06,94.07,71.97,74.12,69.0,86.52,91.91,94.88,91.91,93.8,93.53,87.87,98.11,97.3,98.65,97.3,92.72,82.21,88.95,84.1,94.61,75.2,22.1,34.5,4.04,6.74,11.05,13.21,23.99,8.09,0.27,29.65,71.16,48.79,69.81,89.22,79.51,72.24,76.28,90.03,91.11,88.41,84.1,94.34,97.57,91.91,90.84
BK0820,壳资源,98.11,98.38,98.38,98.65,97.57,93.8,83.29,87.6,78.44,69.54,81.4,83.83,78.98,64.15,70.35,79.25,88.68,90.03,81.4,79.51,52.02,59.84,57.14,50.13,68.46,69.0,37.47,42.05,69.0,47.44,68.73,68.19,81.13,77.09,64.15,60.38,73.85,63.07,37.74,44.74,32.35,24.53,22.37,29.11,47.17,55.53,50.67,63.34,76.28,80.32,62.26,65.23,60.38,51.48,32.61,37.2,36.66,42.32,22.1,32.35,75.74,80.05,88.68,93.8,89.22,83.83,89.76,90.3,87.33,90.84,84.1,82.48,71.43,63.34,61.19,61.46,48.79,38.54,33.69,26.15,29.65,30.46,35.31,52.02,69.81,69.81,68.73,65.23,72.24,67.92,69.0,77.09,63.07,53.91,46.9,49.33,53.64,48.79,39.08,59.57,51.21,36.66,50.4,45.82,45.01,35.31,25.88,30.46,44.74,36.93,59.84,70.35,72.78,76.55,85.98,77.09,81.13,89.76,90.3,84.91,80.32,79.25,82.48,77.9,75.74,74.66,66.31,62.26,60.92,48.52,46.09,56.06,37.74,43.13,43.94,56.6,73.85,78.98,79.51,79.51
BK0873,垃圾分类,97.84,96.5,97.57,96.77,96.23,93.53,92.99,96.5,94.34,93.53,94.61,96.5,95.96,97.3,97.04,97.3,97.84,96.5,89.22,79.25,20.49,69.27,44.74,15.09,5.12,15.09,3.5,19.95,10.51,12.94,24.53,7.82,15.63,21.02,12.94,8.36,8.36,12.4,14.29,9.43,15.36,15.63,30.19,33.15,36.12,28.3,38.01,30.73,27.76,55.8,39.35,35.58,42.59,43.94,39.89,56.87,36.93,57.95,66.31,29.65,30.73,41.24,37.74,47.17,33.96,25.88,43.4,34.5,27.22,34.5,36.39,34.77,29.11,25.88,33.42,43.13,41.51,54.99,65.77,42.59,51.21,42.05,49.6,59.03,57.95,54.45,49.33,40.43,51.75,54.18,66.85,79.51,73.58,72.51,73.85,64.42,59.57,47.98,25.88,50.4,30.46,20.49,24.53,30.73,39.35,32.08,34.5,36.66,50.67,39.62,52.83,71.7,74.39,74.12,84.91,85.44,87.87,88.68,86.52,79.78,83.02,75.74,74.93,69.54,56.6,68.19,57.41,70.35,74.93,66.04,57.41,58.22,62.26,56.87,64.69,39.08,71.16,51.48,54.45,74.39
BK0731,化肥行业,97.57,96.23,84.1,44.2,19.41,5.12,7.55,9.97,22.37,37.74,45.01,26.42,68.73,80.32,79.51,61.73,29.38,22.37,11.86,7.55,11.59,21.02,18.33,32.88,57.41,92.99,93.26,92.45,90.3,47.17,40.16,58.22,23.72,18.6,12.13,9.16,6.2,7.01,35.04,43.94,60.65,37.74,64.15,87.06,94.88,95.69,92.72,96.23,96.5,97.3,91.64,91.91,89.22,57.68,15.9,9.7,34.77,18.6,27.76,40.43,56.33,69.81,90.03,96.5,95.15,97.3,97.04,98.11,97.57,98.92,98.92,98.11,83.29,64.15,61.73,42.59,46.9,9.43,29.38,26.95,28.84,33.15,36.39,66.85,81.67,89.22,93.8,92.99,95.15,96.77,96.5,98.65,97.3,99.19,99.19,98.38,97.3,97.84,97.04,92.18,80.32,60.65,59.57,14.29,23.99,8.36,9.97,2.7,4.31,3.23,18.33,50.13,59.03,94.07,97.04,96.5,97.84,98.92,98.65,98.92,99.46,99.46,99.46,99.19,99.19,99.46,99.46,99.19,99.19,98.65,98.11,99.19,98.11,98.38,99.19,98.11,99.73,99.73,99.73,99.73
BK0914,医废处理,97.3,96.77,98.11,98.38,99.19,98.92,99.19,98.38,98.11,97.57,98.11,97.04,94.07,94.88,95.69,96.77,98.11,97.3,88.68,82.21,11.86,94.61,91.11,50.94,7.28,3.23,0.27,4.04,1.62,3.5,8.36,0.0,1.35,4.04,0.81,0.81,1.08,0.81,4.85,4.31,5.39,19.41,50.67,69.27,77.09,79.25,89.22,85.71,86.79,96.23,90.3,85.71,65.77,34.5,28.03,59.3,28.3,31.54,24.53,1.89,9.16,12.94,12.67,30.46,14.56,8.09,20.22,10.24,9.7,32.08,31.81,34.23,27.49,20.75,37.47,46.63,43.94,69.27,84.91,69.27,69.54,59.03,72.78,81.4,79.78,76.28,79.51,58.76,68.46,73.32,91.64,93.26,91.37,88.68,85.44,78.71,76.28,80.32,60.38,65.77,23.45,9.97,9.43,11.59,29.11,26.15,21.56,18.06,27.76,21.56,34.77,66.31,70.62,76.82,80.32,84.1,86.25,81.94,75.74,69.54,80.05,81.94,78.71,73.85,59.03,86.79,90.3,92.72,92.18,94.07,88.68,87.33,87.33,85.98,92.72,55.53,71.97,48.79,77.09,77.36
BK0851,纾困概念,97.04,94.34,93.8,96.5,95.96,92.72,77.09,86.79,77.63,67.65,74.93,80.32,73.85,47.98,49.06,38.81,50.4,50.67,42.86,22.37,5.93,11.86,12.13,14.82,14.02,17.25,7.28,8.63,8.89,14.82,38.27,12.94,28.3,29.11,21.83,17.79,34.5,20.49,32.88,14.29,17.79,25.07,20.22,19.41,30.19,26.95,27.76,34.23,34.77,51.75,21.02,13.75,25.88,24.26,13.75,20.75,11.59,14.29,23.18,17.79,44.2,60.92,62.26,69.81,84.1,87.06,94.34,92.99,88.41,90.57,93.26,91.11,86.79,81.13,75.47,77.09,73.58,66.31,73.32,76.01,66.58,63.88,56.33,71.43,75.47,83.29,81.94,84.64,84.91,80.05,79.78,88.68,84.1,79.51,80.86,81.4,84.37,83.83,75.47,81.13,75.2,58.22,67.65,69.27,63.61,41.24,39.08,34.77,39.62,23.45,44.74,67.12,52.83,36.39,38.27,35.85,33.69,38.27,43.67,50.4,35.58,33.69,36.39,33.96,29.92,43.13,51.48,46.36,48.25,38.01,37.74,46.09,39.35,46.09,47.98,39.35,53.1,53.37,43.94,61.19
BK0695,小金属,96.77,98.11,92.18,70.08,11.32,11.32,17.52,49.6,73.85,60.11,49.6,18.33,15.09,35.04,32.88,5.12,1.89,1.35,1.62,0.81,2.43,1.89,2.96,3.23,4.31,59.84,84.91,81.4,44.2,45.28,32.08,72.24,51.75,76.55,77.9,49.6,33.15,46.63,74.39,82.75,80.32,75.74,83.56,86.79,93.26,97.04,96.23,95.69,88.41,88.95,95.15,94.88,97.04,84.91,59.84,4.58,26.95,26.42,54.18,85.44,90.3,67.12,40.7,83.02,79.51,76.55,66.85,67.12,66.04,47.44,17.79,11.86,20.75,22.64,15.9,18.33,36.39,27.49,37.74,40.16,61.19,79.51,73.85,84.91,95.69,96.77,96.77,96.77,98.11,97.84,97.84,97.3,97.57,97.3,97.04,97.3,95.69,95.69,94.34,95.69,94.34,95.42,92.45,91.37,87.06,70.08,77.63,71.43,77.09,59.03,71.97,80.86,81.4,85.71,78.44,95.96,89.49,94.61,73.32,86.79,94.88,95.69,95.69,96.77,97.84,97.3,96.77,96.23,88.68,80.86,84.1,67.92,65.77,58.76,59.57,24.26,86.79,65.77,84.37,84.37
BK0494,节能环保,96.5,95.69,97.04,97.84,97.84,95.69,94.07,96.77,95.42,93.26,92.99,91.11,88.41,91.64,94.34,95.96,97.57,94.88,84.1,81.94,34.77,81.13,63.88,42.32,14.56,40.43,7.82,33.42,31.54,19.14,45.82,13.21,28.03,38.54,32.08,12.67,20.75,21.02,16.98,11.05,12.13,18.6,24.8,32.08,31.81,40.43,40.7,33.15,34.23,58.22,51.48,54.18,72.24,53.1,54.18,51.48,37.47,53.64,61.99,44.2,53.91,44.47,43.94,46.63,36.12,35.04,43.13,39.08,33.15,41.78,34.5,36.12,33.42,36.39,43.67,49.6,53.64,57.95,63.61,49.87,54.45,49.06,47.44,48.52,55.8,49.6,58.22,61.73,71.97,62.53,72.51,82.21,78.44,75.47,71.43,66.31,64.15,66.31,50.67,64.96,46.36,34.77,44.47,53.91,62.8,53.1,55.8,52.29,57.41,53.64,67.12,77.9,79.78,79.25,86.25,87.87,86.79,84.1,80.05,80.86,84.64,81.67,77.36,74.39,66.04,74.39,58.76,76.28,73.05,61.99,56.33,54.18,54.99,50.13,59.84,35.31,71.7,53.91,68.73,76.01
BK0436,纺织服装,96.23,92.72,94.34,91.64,92.99,97.04,95.96,89.22,82.21,74.39,80.59,84.37,91.37,91.91,83.02,56.6,76.01,95.69,98.11,96.23,92.99,95.69,92.18,91.37,93.26,97.57,92.99,84.1,73.58,72.78,81.67,72.78,74.93,40.97,38.27,20.75,21.56,21.56,21.56,58.76,53.91,56.6,44.47,67.12,76.28,71.43,77.36,79.51,82.48,56.33,42.86,34.77,41.24,20.22,22.37,22.1,19.41,13.48,8.89,11.59,31.27,50.13,84.64,91.37,74.93,64.69,78.44,71.7,63.07,60.65,47.17,32.61,15.9,15.9,25.61,39.35,22.64,27.22,40.97,44.74,88.14,79.25,92.99,93.8,91.64,88.41,88.68,78.17,71.16,60.38,36.66,53.64,23.72,14.82,11.86,5.12,5.66,4.31,2.43,10.24,10.51,10.78,13.21,13.48,10.24,12.94,11.86,16.71,22.1,13.48,15.09,9.97,12.94,21.83,50.13,52.02,56.87,67.65,67.39,61.73,66.31,77.09,76.28,71.16,42.05,34.5,44.74,38.27,40.97,51.48,41.78,46.36,38.01,38.27,56.87,51.48,35.85,52.29,38.27,29.65
BK0519,稀缺资源,95.96,97.57,87.87,44.74,14.29,24.53,49.06,81.67,92.72,91.11,86.25,64.42,57.14,85.18,83.29,26.68,5.93,2.96,1.89,1.62,7.55,2.96,7.01,7.55,5.39,71.16,93.53,90.3,86.52,44.47,38.01,82.48,74.39,90.03,91.91,84.64,63.88,71.43,86.25,91.11,90.3,90.57,86.25,92.45,97.84,98.92,99.19,98.92,98.11,97.84,98.65,97.84,99.46,62.53,16.17,1.35,1.62,2.16,26.68,73.58,70.62,49.33,47.98,93.26,68.46,74.39,59.3,76.82,71.7,75.47,47.71,31.27,40.16,29.65,21.83,16.98,36.93,12.67,26.95,1.89,6.74,28.57,15.36,37.2,88.41,91.37,89.49,89.49,94.88,96.5,97.3,97.57,97.04,98.11,97.84,97.04,97.84,97.3,96.77,96.77,95.69,95.96,90.84,88.95,78.98,59.3,75.47,61.99,73.58,48.79,48.25,72.78,84.64,88.41,90.84,97.57,92.18,95.42,79.78,90.03,96.77,96.5,96.23,97.04,98.11,97.84,98.65,98.65,98.11,97.3,97.3,96.77,97.04,97.3,98.38,95.69,98.11,94.34,95.69,95.96
BK0883,数字货币,95.69,91.64,62.53,85.71,83.56,76.01,38.81,43.67,26.68,27.49,26.15,25.61,11.86,14.29,11.32,87.6,92.99,98.92,98.92,98.65,96.77,99.19,98.92,98.65,99.46,95.69,84.37,3.23,34.77,90.57,92.72,81.13,97.04,84.91,84.1,92.45,98.11,95.69,84.64,70.08,28.57,30.19,9.97,39.89,83.29,93.53,82.21,90.57,90.03,87.33,97.04,97.57,93.26,60.92,26.68,4.04,5.93,4.58,9.97,2.96,27.22,16.71,9.7,40.7,9.16,13.75,29.65,38.01,74.39,89.49,92.45,87.06,92.72,94.34,97.57,95.15,90.84,77.63,23.45,21.83,8.89,29.92,9.43,7.28,5.66,17.25,14.29,80.59,65.5,79.25,78.44,69.54,61.19,48.25,51.21,41.78,63.07,31.27,27.76,9.7,19.68,8.89,31.27,33.69,32.35,28.84,21.02,14.82,34.77,47.44,18.87,41.51,56.33,24.8,23.72,18.06,66.58,81.13,78.98,78.71,80.86,70.62,34.77,46.36,49.6,61.19,35.85,30.19,34.77,30.73,26.95,40.43,43.13,57.68,42.32,48.52,20.49,20.22,9.43,5.93
BK0934,蝗虫防治,95.42,85.98,84.64,49.33,26.42,23.18,45.01,46.09,40.16,47.44,33.42,55.8,67.12,61.73,67.12,85.18,70.89,64.42,59.03,47.71,60.38,41.78,72.78,47.17,62.8,28.3,21.02,21.83,10.24,24.53,39.35,21.29,6.2,8.36,14.82,25.88,36.39,50.13,72.78,45.55,61.73,58.76,65.23,83.02,64.42,57.68,59.57,63.07,44.74,34.5,15.36,8.36,3.77,0.54,2.7,7.28,17.52,7.01,14.82,29.92,19.14,38.01,55.26,60.38,66.04,80.05,81.67,87.6,67.65,71.16,71.97,68.73,61.73,60.38,48.25,35.58,12.13,7.01,25.07,34.23,49.33,48.25,39.08,31.27,43.94,47.17,65.23,63.07,67.65,60.11,40.97,65.23,58.22,60.92,73.05,65.77,63.34,64.42,41.51,38.54,43.13,23.72,32.08,31.54,31.0,25.07,22.1,21.56,21.56,12.13,11.05,15.63,23.45,46.09,27.49,28.57,45.01,41.78,46.09,47.44,64.96,77.9,60.11,52.29,73.58,79.51,67.39,72.51,76.28,67.39,80.59,86.79,94.07,92.18,95.42,97.84,97.3,98.11,97.57,98.65
BK0822,租售同权,95.15,92.18,89.49,86.25,93.8,97.84,96.23,35.58,79.25,86.79,93.53,96.77,97.57,95.42,89.76,84.1,87.6,76.55,53.64,36.93,9.43,14.82,7.55,12.67,7.55,13.75,7.55,23.99,64.42,38.54,42.05,45.01,76.55,50.67,62.8,45.55,48.52,22.37,12.67,23.45,29.38,30.46,26.42,52.83,55.8,44.2,64.42,66.31,74.39,82.21,77.9,74.93,70.62,62.8,70.89,72.51,39.08,82.21,74.66,71.43,62.53,42.05,60.65,82.75,50.67,23.45,39.35,9.16,2.16,2.7,4.85,11.05,10.78,1.35,3.5,6.47,2.43,8.63,11.05,2.43,8.36,4.85,20.49,27.22,26.68,67.65,60.92,40.16,47.71,47.44,57.95,60.11,39.89,39.89,46.63,16.17,15.36,21.56,21.02,16.71,8.63,14.56,4.58,5.39,5.93,8.09,7.55,8.89,8.36,29.38,27.22,46.09,52.56,41.24,54.72,57.14,76.55,53.91,63.34,17.79,24.26,14.02,42.05,40.43,22.1,29.65,55.26,69.0,74.39,74.12,68.19,66.04,64.69,69.0,83.83,66.85,25.61,6.2,1.89,23.72
BK0801,增强现实,94.88,91.11,87.6,87.6,87.6,83.56,62.8,81.94,41.51,27.76,21.29,21.29,12.94,11.86,8.09,6.2,27.76,24.26,35.58,32.88,19.14,16.71,31.54,57.41,76.01,83.29,55.8,67.12,74.12,82.75,81.13,69.54,79.25,85.18,78.17,38.27,76.01,46.36,45.28,17.79,11.32,24.8,13.21,2.16,1.89,5.12,1.89,3.5,6.74,9.97,33.42,22.91,63.07,76.28,74.39,75.2,64.42,38.01,60.11,56.6,65.77,61.46,38.54,32.35,49.87,64.15,63.07,76.28,75.74,74.39,88.41,84.64,81.67,80.86,77.9,63.88,72.51,60.38,18.87,39.62,2.7,8.63,1.89,3.5,11.86,17.52,13.75,36.66,54.45,51.21,65.5,55.53,60.11,50.67,28.3,33.15,36.12,31.0,23.18,21.56,28.57,19.14,39.62,53.64,54.72,42.05,52.56,53.1,59.03,60.38,49.87,62.53,61.46,28.03,20.49,20.75,23.45,17.79,21.02,42.59,19.41,30.19,26.68,56.06,75.47,71.7,74.93,68.19,69.0,63.07,79.51,94.34,83.02,71.43,50.67,79.51,66.85,62.26,57.41,40.16
BK0692,在线旅游,94.61,88.95,88.41,76.01,68.73,95.15,81.94,92.99,96.23,97.84,98.65,98.65,98.65,97.57,98.38,91.64,84.1,95.42,85.98,17.79,1.35,7.28,2.7,40.16,2.7,4.04,29.38,27.49,36.66,29.11,91.91,84.1,94.61,92.99,97.3,93.26,94.34,53.1,34.77,10.78,4.31,1.35,3.77,0.0,0.0,0.27,0.0,0.27,0.27,1.08,0.54,1.35,0.81,24.8,49.87,21.83,25.88,31.0,20.22,27.76,19.68,12.4,13.21,19.68,1.89,9.43,6.74,18.6,8.36,11.86,23.72,40.43,33.15,33.15,24.26,11.05,17.52,9.7,20.49,12.67,46.09,17.25,26.15,22.1,24.53,32.88,9.43,6.47,7.01,28.3,14.29,16.71,23.99,34.23,78.71,47.71,25.88,36.39,22.64,7.55,7.28,6.47,2.16,0.54,0.27,1.08,1.08,1.35,1.89,2.43,0.81,5.66,16.17,37.74,82.48,72.24,88.14,88.14,93.8,83.56,87.87,91.37,94.34,93.26,89.49,81.4,93.8,86.25,91.37,90.03,87.33,79.51,62.53,79.51,29.38,11.05,0.81,6.47,1.62,1.08
BK0485,旅游酒店,94.34,91.37,94.61,87.06,76.55,96.23,82.48,89.76,95.96,98.65,98.38,99.19,98.92,98.65,98.92,95.42,93.8,98.11,96.77,46.9,12.67,6.74,4.58,63.34,3.77,6.2,30.46,24.53,32.61,10.78,88.41,88.68,93.53,91.64,96.77,93.8,92.45,64.69,31.81,32.61,10.78,5.12,14.82,0.27,0.27,0.0,0.27,0.0,0.81,0.0,0.0,0.27,0.0,2.16,6.2,7.55,4.04,16.44,10.24,24.26,13.48,17.52,26.68,33.96,16.71,18.33,29.92,44.74,18.06,14.82,32.88,36.39,27.22,28.3,22.91,16.17,18.33,6.2,17.52,19.41,57.95,33.96,38.01,46.36,63.34,46.9,20.22,15.09,16.98,28.57,11.05,12.94,14.56,12.94,29.11,23.72,16.71,17.25,13.48,7.01,12.94,7.82,3.23,0.81,0.81,0.54,0.54,0.81,1.35,0.54,0.54,1.62,7.55,36.66,87.33,83.29,94.07,91.37,95.96,91.64,90.57,94.88,98.38,97.57,93.53,88.68,94.34,85.44,91.11,87.87,85.71,79.78,49.06,75.74,22.91,13.21,1.89,18.87,4.31,2.43
BK0919,RCS概念,94.07,86.52,71.43,77.9,61.99,65.5,28.84,52.56,27.22,37.47,53.37,57.41,44.47,35.31,23.45,39.08,82.21,91.37,91.64,78.44,17.25,22.1,32.88,41.24,59.03,28.84,9.97,2.96,5.93,25.61,59.84,32.88,64.42,59.84,30.73,31.54,53.64,22.1,12.94,6.2,1.89,2.43,0.81,1.62,2.96,2.96,2.43,7.82,16.17,23.99,15.09,26.15,47.44,36.12,30.73,33.96,26.15,29.92,30.73,19.95,38.27,36.39,40.16,71.43,80.59,84.1,92.45,87.06,95.15,98.11,98.11,97.84,90.3,81.67,79.78,72.51,52.29,30.46,0.81,0.27,0.27,2.43,2.96,4.04,4.31,9.43,10.51,28.84,33.69,55.26,67.12,41.78,46.36,45.82,50.4,39.89,54.18,52.02,41.24,16.44,21.02,13.75,15.9,27.76,25.88,35.04,31.81,35.85,53.91,74.93,49.06,68.46,73.32,54.45,45.01,20.22,36.12,46.63,45.82,31.54,27.76,30.46,33.96,32.61,35.04,39.62,28.03,22.64,29.92,38.27,48.25,71.16,63.34,65.77,63.61,76.01,77.09,83.56,70.35,61.99
