,NAME,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22
BK0623,海洋经济,43.67,53.91,50.13,77.36,32.61,68.46,75.47,90.03,87.87,88.14,90.57,98.11,97.3,90.3,92.45,76.82,47.44,33.15,31.0,21.02,39.89,16.17,14.29,9.16,15.9,89.76,88.68,97.57,98.11,98.38,98.38,94.07,92.72,94.34,92.45,59.84,70.35,10.51,8.09,2.16,1.35,7.55,11.86,36.93,59.84,79.51,67.65,74.12,75.2,76.28,90.57,89.22,89.76,56.06,45.28,20.49,19.95,36.66,21.56,44.47,10.51,7.01,8.09,12.67,8.36,8.63,15.9,17.52,42.59,33.96,38.81,47.17,64.69,59.57,59.3,70.35,75.47,76.82,82.21,70.35,80.59,76.82,53.64,88.95,89.22,80.05,74.93,47.71,31.81,24.26,26.42,11.59,21.83,11.05,6.2,3.23,1.89,2.16,2.16,13.21,10.24,13.21,9.7,6.47,13.75,23.72,27.22,29.65,47.98,38.54,48.52,70.08,84.37,88.95,90.3,79.78,88.41,88.95,84.64,83.83,83.29,88.68,89.22,81.67,73.32,66.85,80.86,81.4,89.76,87.6,90.03,84.91,84.64,89.49,93.53,95.15,91.11,91.11,87.87,91.37
BK0963,航天概念,43.4,47.17,69.81,65.77,38.54,13.21,6.2,4.31,2.7,5.39,5.12,5.39,3.23,20.49,45.01,69.81,53.1,50.13,62.53,83.29,91.91,47.71,49.87,19.95,33.15,36.12,62.53,71.43,59.57,22.1,15.9,70.62,69.0,72.78,55.8,66.58,42.32,43.4,56.6,57.14,58.76,39.08,32.08,38.27,31.54,27.76,43.94,28.84,31.0,49.6,53.64,63.88,77.63,70.35,63.61,77.36,73.32,87.6,85.71,82.48,88.95,78.44,69.54,53.1,80.32,78.17,77.63,77.63,76.55,58.76,59.57,75.47,78.17,83.56,90.03,91.11,81.4,77.9,74.66,88.41,76.55,73.85,45.28,20.75,17.52,41.24,64.96,88.68,85.98,84.64,86.25,74.39,85.98,91.37,88.14,86.52,88.14,69.81,86.79,85.44,87.6,83.02,85.18,75.2,78.71,77.63,81.4,95.69,92.18,91.11,94.07,95.96,95.96,96.77,94.07,92.45,91.64,92.99,94.07,96.77,85.71,77.63,78.17,63.61,84.37,79.25,37.74,22.91,6.2,3.5,9.16,9.16,11.05,12.94,3.77,2.43,10.51,9.43,22.91,22.64
BK0972,快手概念,43.13,49.6,42.86,49.06,64.42,84.1,56.33,56.87,41.24,34.77,39.89,38.01,28.84,9.7,8.36,4.31,32.88,45.82,53.37,41.78,12.4,12.94,20.75,56.06,47.71,39.62,7.01,33.69,31.81,51.48,88.95,78.98,83.02,42.05,65.77,49.33,67.39,15.36,18.06,10.24,3.77,14.29,3.23,5.66,4.85,10.51,7.82,19.68,42.32,41.24,7.28,5.39,19.14,50.4,55.8,38.01,35.04,23.99,12.67,5.12,43.94,63.34,44.74,28.3,11.32,12.67,23.18,23.72,50.67,64.15,54.45,54.18,63.07,57.41,62.53,56.33,44.2,30.73,9.16,5.12,3.77,2.7,3.23,4.58,6.2,7.01,6.2,24.53,19.95,31.54,45.82,44.2,42.86,48.52,22.37,25.07,21.29,16.98,12.67,4.31,3.5,3.5,4.31,3.77,7.82,5.39,5.39,2.96,3.77,9.16,8.63,15.9,14.82,14.02,21.56,32.61,54.72,76.55,85.44,71.16,49.87,52.56,51.75,71.43,54.18,37.74,49.33,43.67,51.21,52.02,66.58,87.06,79.78,74.93,82.21,88.95,75.47,82.48,46.36,51.75
BK0805,钛白粉,42.86,76.01,84.91,36.39,16.71,8.09,15.9,77.63,83.29,73.05,82.75,18.87,30.46,47.17,61.46,56.87,19.95,4.31,5.39,3.77,20.75,5.39,1.08,6.74,4.04,75.74,85.98,87.33,72.51,29.38,20.22,19.41,16.17,21.29,5.93,28.84,13.21,44.2,69.81,79.25,88.95,90.3,91.64,95.42,98.65,97.3,97.57,95.96,93.8,92.99,50.94,76.01,67.65,7.82,2.16,2.96,23.99,40.43,62.8,93.26,96.5,94.61,97.3,97.57,97.04,96.23,91.11,95.69,89.76,82.75,77.63,53.64,60.65,47.98,30.73,16.71,65.23,3.77,32.08,36.39,14.82,46.09,19.41,33.42,68.73,76.55,66.58,82.21,88.14,92.99,92.72,94.34,96.77,98.65,98.38,98.11,98.65,99.46,94.88,94.88,94.07,92.45,77.9,53.1,64.15,47.98,50.13,43.94,79.78,71.43,80.32,83.29,91.64,99.46,97.57,96.77,95.69,93.26,95.42,98.38,98.65,98.11,98.92,97.84,98.65,98.92,98.92,98.92,90.84,70.62,77.63,80.32,55.26,24.8,54.72,18.33,97.57,95.42,98.65,97.57
BK0740,文教休闲,42.59,32.88,47.17,36.93,38.01,70.62,61.73,56.06,46.63,42.86,49.06,59.3,48.25,56.6,51.48,18.6,34.77,65.23,61.46,59.03,25.34,24.53,47.44,38.54,50.94,67.65,66.85,88.14,94.34,96.23,96.5,97.04,98.11,94.88,94.61,92.18,89.49,69.0,36.93,42.32,50.94,22.64,12.4,29.65,51.75,58.49,57.95,51.48,61.19,64.15,45.55,28.03,18.06,8.89,6.47,8.09,4.58,5.93,11.59,5.39,16.17,40.97,42.32,51.75,33.42,23.18,49.6,48.25,49.33,59.84,55.53,57.41,67.92,66.31,64.96,69.54,47.71,40.97,31.81,23.45,33.15,15.9,16.17,14.29,16.17,18.33,25.88,32.88,40.97,36.12,31.27,47.71,35.31,18.87,13.21,14.82,14.29,13.75,6.2,5.39,1.62,4.04,7.55,14.82,11.32,6.74,16.98,15.9,13.21,32.35,64.15,34.77,22.64,20.75,34.77,44.47,38.01,77.36,69.27,56.6,23.72,66.85,64.69,63.88,71.43,48.25,55.8,26.68,59.03,53.64,66.85,66.31,63.88,54.18,43.67,48.25,28.3,47.44,31.0,35.58
BK0614,食品安全,42.32,41.51,44.47,52.83,52.02,52.29,55.8,63.88,55.53,60.92,59.84,67.92,56.6,53.1,53.1,67.39,63.07,71.97,72.51,71.97,39.62,28.84,18.87,19.14,25.07,39.35,42.05,27.76,60.65,92.45,93.8,94.34,96.77,97.04,94.34,91.64,94.61,96.5,96.23,89.49,90.57,87.6,81.13,75.47,75.74,78.44,63.34,77.9,62.53,59.57,52.02,58.22,46.9,42.86,56.6,38.54,60.38,37.74,51.75,39.89,49.06,54.99,64.15,67.65,73.32,77.09,69.0,76.55,69.81,83.29,71.7,81.13,78.44,74.39,77.36,74.66,77.09,72.78,61.19,54.99,65.23,54.99,53.1,42.05,26.42,39.35,38.54,41.24,51.21,53.1,32.35,22.64,22.64,22.64,39.35,49.87,57.41,59.84,53.1,40.16,64.96,59.84,66.04,70.35,63.88,76.01,61.99,46.9,40.43,50.13,33.15,38.54,33.96,22.91,15.36,7.01,11.32,21.56,30.46,26.15,37.2,41.24,29.11,32.08,39.62,35.31,33.69,28.03,27.76,31.81,26.42,19.68,31.0,20.22,32.61,45.01,46.36,64.15,68.19,52.02
BK0656,智能电视,42.05,39.62,77.36,90.57,94.34,91.64,83.02,72.51,76.82,82.75,82.48,78.71,72.24,42.86,34.5,55.8,53.37,82.21,74.93,40.7,38.54,38.54,24.26,53.37,32.35,22.1,19.41,16.71,17.52,43.94,54.99,62.53,68.73,67.39,85.71,83.02,88.95,93.26,91.91,91.91,87.6,80.32,77.09,61.73,56.33,50.67,50.94,59.03,59.03,61.99,66.04,76.55,89.49,88.68,78.71,69.54,72.24,31.81,39.89,8.89,22.1,26.15,1.35,9.43,12.13,16.44,43.67,56.06,64.15,77.63,92.18,89.76,81.13,77.63,79.51,84.91,61.99,70.35,56.06,72.51,15.09,17.79,33.69,27.49,63.88,77.09,71.43,67.92,73.05,47.17,57.14,61.19,64.15,76.28,64.69,53.1,52.02,58.49,51.21,50.13,63.88,62.53,43.94,18.6,21.83,13.48,19.68,25.34,12.4,8.89,4.31,5.39,9.7,25.07,21.02,22.91,24.53,18.6,31.54,41.51,45.55,55.26,66.58,79.25,82.75,85.44,94.61,87.33,92.45,90.84,88.95,95.69,91.11,87.06,69.81,79.78,70.89,67.12,50.13,57.68
BK0715,航母概念,41.78,46.36,58.22,40.16,18.6,4.85,3.5,2.16,5.39,14.02,6.47,4.04,2.96,21.56,31.0,39.62,27.49,19.68,25.34,26.95,83.83,35.04,29.92,11.32,45.55,67.39,71.7,73.85,61.19,31.81,6.2,46.36,43.13,52.56,47.98,37.2,40.43,39.62,48.25,51.75,59.03,55.8,33.96,47.98,32.08,36.39,43.67,32.61,35.04,53.37,49.87,64.96,83.83,56.87,47.17,50.4,62.53,72.24,71.43,64.96,76.28,41.78,24.8,28.03,63.07,64.96,62.8,70.62,69.0,45.01,33.42,44.74,59.03,65.5,69.0,69.0,55.26,53.64,47.71,67.39,39.08,46.63,20.22,7.82,0.81,1.08,2.16,11.86,15.9,25.61,29.38,9.97,50.94,84.64,87.87,88.14,88.41,74.66,88.41,89.49,93.8,92.18,90.03,76.55,84.64,85.18,84.37,97.3,96.77,96.23,95.96,95.15,91.91,95.42,87.87,90.3,94.34,86.25,86.25,93.26,80.59,84.91,93.26,87.6,94.88,95.15,95.69,86.52,58.76,33.15,54.18,32.61,46.9,45.28,29.65,3.23,3.23,3.77,26.95,58.76
BK0893,无线耳机,41.51,27.76,20.49,21.56,28.84,22.91,19.14,22.64,6.74,3.23,2.96,3.5,4.04,2.7,2.7,2.16,2.16,5.39,14.02,27.49,30.46,22.64,46.09,76.55,76.55,78.44,76.55,59.03,40.16,76.82,73.32,59.57,46.36,46.09,38.81,50.4,72.78,78.98,80.59,66.04,64.96,63.34,60.11,35.04,22.91,16.71,9.43,7.01,4.31,5.66,6.2,5.93,15.63,23.72,53.1,67.92,76.82,75.2,87.06,91.11,92.45,95.15,90.57,86.79,94.07,92.99,91.37,90.57,88.95,81.13,77.36,74.12,87.06,89.76,87.87,86.25,94.61,95.42,95.15,96.5,95.42,94.88,89.22,86.52,87.6,90.57,80.86,88.95,85.71,81.67,70.08,37.2,47.71,46.9,21.02,39.08,43.13,27.49,34.23,45.01,66.85,77.09,85.44,86.52,80.32,66.58,70.89,58.22,60.11,42.05,39.89,42.05,22.91,9.43,15.09,35.31,12.94,15.63,15.36,38.81,36.93,26.95,25.07,45.28,46.9,35.04,49.87,36.39,26.42,26.42,22.1,24.53,13.48,9.7,7.01,12.4,4.85,7.01,9.7,0.81
BK0534,成渝特区,41.24,36.66,42.59,41.78,35.31,27.22,37.74,37.74,69.81,58.76,59.3,57.14,69.54,80.59,88.68,88.14,90.57,74.66,61.73,69.81,69.81,76.82,76.28,47.44,31.54,54.45,43.94,60.92,78.71,71.43,67.12,65.5,52.83,64.96,76.28,75.74,73.32,76.55,51.21,59.3,66.31,68.46,66.85,74.39,75.2,82.48,84.1,83.02,80.86,85.44,80.59,83.83,86.25,83.29,80.86,67.12,63.88,55.53,52.56,54.45,43.13,28.84,25.61,24.8,16.44,17.25,12.67,13.21,14.82,14.29,16.71,18.06,18.87,23.18,25.07,30.46,38.27,31.54,43.94,41.24,46.63,48.79,59.84,57.68,53.37,45.28,45.55,45.82,39.08,32.08,41.78,52.56,45.28,57.41,64.42,58.22,56.6,54.18,59.84,62.53,51.75,43.67,40.7,32.61,36.66,29.92,28.84,39.08,36.93,39.35,50.94,58.76,62.53,70.89,70.89,67.12,75.2,78.98,84.37,78.17,78.44,75.47,78.44,76.82,74.66,78.44,80.59,77.63,70.08,66.58,71.16,73.85,76.28,75.47,76.55,74.93,70.62,68.19,83.83,85.18
